Addex Therapeutics Price to Free Cash Flow Ratio Historical Data,Addex Therapeutics Price to Free Cash Flow Ratio Historical Data,Addex Therapeutics Price to Free Cash Flow Ratio Historical Data,Addex Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.66,,0.0
2024-09-30,9.77,$-21.29,0.0
2024-06-30,8.22,$-8.83,0.0
2024-03-31,12.8,$-12.48,0.0
2023-12-31,6.05,$-14.39,0.0
2023-09-30,7.69,$-11.65,0.0
2023-06-30,10.42,$298.85,0.03
2023-03-31,18.92,$-34.13,0.0
2022-12-31,12.6,$-45.75,0.0
2022-09-30,16.0,$-46.36,0.0
2022-06-30,23.0,$-375.09,0.0
2022-03-31,101.6,$-62.35,0.0
2021-12-31,125.8,$-56.70,0.0
2021-09-30,180.2,$-40.75,0.0
2021-06-30,191.19,$-46.13,0.0
2021-03-31,210.0,$-50.88,0.0
2020-12-31,268.0,$-58.71,0.0
