Emerson Electric Price to Free Cash Flow Ratio Historical Data,Emerson Electric Price to Free Cash Flow Ratio Historical Data,Emerson Electric Price to Free Cash Flow Ratio Historical Data,Emerson Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,111.8,,19.61
2024-12-31,123.93,$5.70,21.74
2024-09-30,108.92,$5.07,21.46
2024-06-30,109.15,$2.06,53.06
2024-03-31,111.86,$1.58,70.87
2023-12-31,95.51,$0.45,211.18
2023-09-30,94.2,$0.47,198.49
2023-06-30,87.7,$3.76,23.29
2023-03-31,84.01,$3.65,23.0
2022-12-31,92.05,$4.26,21.62
2022-09-30,69.76,$4.40,15.86
2022-06-30,75.34,$3.86,19.52
2022-03-31,92.3,$4.34,21.26
2021-12-31,87.05,$4.88,17.83
2021-09-30,87.74,$5.27,16.65
2021-06-30,89.21,$5.59,15.96
2021-03-31,83.18,$5.22,15.94
2020-12-31,73.67,$4.83,15.25
2020-09-30,59.69,$4.20,14.23
2020-06-30,56.07,$4.16,13.49
2020-03-31,42.67,$4.23,10.08
2019-12-31,67.83,$4.12,16.45
2019-09-30,59.06,$3.89,15.2
2019-06-30,58.43,$3.40,17.19
2019-03-31,59.52,$3.34,17.8
2018-12-31,51.56,$3.30,15.62
2018-09-30,65.62,$3.58,18.32
2018-06-30,58.86,$3.51,16.77
2018-03-31,57.75,$3.08,18.77
2017-12-31,58.53,$2.57,22.81
2017-09-30,52.35,$2.23,23.45
2017-06-30,49.27,$2.43,20.32
2017-03-31,49.07,$2.55,19.22
2016-12-31,45.36,$3.42,13.26
2016-09-30,43.94,$3.76,11.68
2016-06-30,41.67,$4.02,10.36
2016-03-31,43.06,$3.58,12.03
2015-12-31,37.49,$2.90,12.92
2015-09-30,34.28,$2.87,11.95
2015-06-30,42.61,$3.25,13.11
2015-03-31,43.18,$3.92,11.02
2014-12-31,46.7,$4.20,11.12
2014-09-30,47.0,$4.32,10.88
2014-06-30,49.5,$4.10,12.08
2014-03-31,49.51,$4.08,12.14
2013-12-31,51.68,$4.15,12.46
2013-09-30,47.34,$4.11,11.52
2013-06-30,39.64,$3.91,10.15
2013-03-31,40.33,$3.69,10.94
2012-12-31,37.96,$3.58,10.61
2012-09-30,34.31,$3.25,10.55
2012-06-30,32.85,$3.13,10.49
2012-03-31,36.5,$3.11,11.72
2011-12-31,32.33,$3.39,9.53
2011-09-30,28.45,$3.43,8.29
2011-06-30,38.42,$3.47,11.06
2011-03-31,39.66,$3.29,12.04
2010-12-31,38.59,$3.18,12.12
2010-09-30,35.33,$3.66,9.66
2010-06-30,29.11,$3.86,7.55
2010-03-31,33.31,$4.15,8.02
2009-12-31,27.99,$4.16,6.73
