SOS Price to Free Cash Flow Ratio Historical Data,SOS Price to Free Cash Flow Ratio Historical Data,SOS Price to Free Cash Flow Ratio Historical Data,SOS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.98,,0.0
2018-12-31,7650.0,$-445.32,0.0
2018-09-30,21450.0,"$-5,554.77",0.0
2018-06-30,16275.0,$101.15,160.91
2018-03-31,37350.0,$-900.24,0.0
