Grove Collaborative Holdings Price to Free Cash Flow Ratio Historical Data,Grove Collaborative Holdings Price to Free Cash Flow Ratio Historical Data,Grove Collaborative Holdings Price to Free Cash Flow Ratio Historical Data,Grove Collaborative Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.57,,0.0
2024-12-31,1.39,$-0.31,0.0
2024-09-30,1.35,$-0.29,0.0
2024-06-30,1.77,$-0.43,0.0
2024-03-31,1.67,$-0.45,0.0
2023-12-31,1.77,$-0.32,0.0
2023-09-30,2.66,$-3.07,0.0
2023-06-30,1.77,$4.54,0.39
2023-03-31,0.44,$10.66,0.04
2022-12-31,0.4,$-5.55,0.0
2022-09-30,2.24,$-27.68,0.0
2022-06-30,4.63,$-49.54,0.0
2022-03-31,9.86,$-93.95,0.0
