Civista Bancshares Price to Free Cash Flow Ratio Historical Data,Civista Bancshares Price to Free Cash Flow Ratio Historical Data,Civista Bancshares Price to Free Cash Flow Ratio Historical Data,Civista Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.64,,6.26
2024-12-31,21.04,$3.14,6.71
2024-09-30,17.68,$1.71,10.34
2024-06-30,15.22,$2.27,6.71
2024-03-31,14.94,$2.68,5.56
2023-12-31,17.73,$3.91,4.53
2023-09-30,14.75,$3.54,4.17
2023-06-30,16.41,$0.65,25.08
2023-03-31,15.76,$1.92,8.2
2022-12-31,20.42,$1.26,16.21
2022-09-30,19.14,$1.95,9.81
2022-06-30,19.48,$4.41,4.41
2022-03-31,21.93,$2.14,10.25
2021-12-31,22.08,$2.53,8.72
2021-09-30,20.9,$2.60,8.05
2021-06-30,19.76,$2.48,7.97
2021-03-31,20.41,$1.36,14.95
2020-12-31,15.49,$1.91,8.12
2020-09-30,10.98,$2.35,4.67
2020-06-30,13.4,$1.59,8.45
2020-03-31,12.91,$2.90,4.45
2019-12-31,20.62,$2.11,9.76
2019-09-30,18.58,$1.18,15.7
2019-06-30,19.09,$2.14,8.91
2019-03-31,18.47,$1.63,11.33
2018-12-31,14.67,$1.40,10.51
2018-09-30,20.21,$2.17,9.31
2018-06-30,20.26,$1.41,14.36
2018-03-31,19.05,$1.38,13.82
2017-12-31,18.28,$1.61,11.32
2017-09-30,18.51,$1.37,13.51
2017-06-30,17.25,$1.33,12.95
2017-03-31,18.25,$0.54,33.51
2016-12-31,15.96,$1.39,11.44
2016-09-30,11.6,$0.88,13.16
2016-06-30,10.67,$0.73,14.64
2016-03-31,8.36,$1.63,5.11
2015-12-31,10.35,$1.20,8.65
2015-09-30,8.13,$1.56,5.21
2015-06-30,8.63,$1.80,4.78
2015-03-31,8.78,$2.03,4.32
2014-12-31,8.14,$1.44,5.66
2014-09-30,7.86,$1.78,4.42
2014-06-30,7.06,$1.30,5.41
2014-03-31,7.19,$1.73,4.17
2013-12-31,5.05,$1.51,3.35
2013-09-30,5.37,$1.39,3.87
2013-06-30,5.52,$1.94,2.84
2013-03-31,5.28,$1.91,2.76
2012-12-31,3.97,$2.08,1.91
2012-09-30,4.03,$2.52,1.6
2012-06-30,4.43,$2.74,1.61
2012-03-31,4.17,$2.33,1.79
2011-12-31,2.98,$2.54,1.17
2011-09-30,2.44,$2.62,0.93
2011-06-30,2.78,$2.12,1.31
2011-03-31,3.07,$3.03,1.01
2010-12-31,2.92,$2.79,1.05
2010-09-30,2.97,$1.14,2.59
2010-06-30,3.38,$1.98,1.71
2010-03-31,3.29,$0.94,3.51
2009-12-31,3.41,$0.88,3.88
