East West Bancorp Price to Free Cash Flow Ratio Historical Data,East West Bancorp Price to Free Cash Flow Ratio Historical Data,East West Bancorp Price to Free Cash Flow Ratio Historical Data,East West Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,89.89,,8.91
2024-12-31,95.76,$10.09,9.49
2024-09-30,82.27,$10.50,7.84
2024-06-30,72.31,$10.42,6.94
2024-03-31,77.55,$10.37,7.48
2023-12-31,69.98,$10.04,6.97
2023-09-30,50.81,$9.19,5.53
2023-06-30,50.5,$11.36,4.45
2023-03-31,52.6,$14.07,3.74
2022-12-31,62.08,$14.50,4.28
2022-09-30,62.9,$14.33,4.39
2022-06-30,60.37,$11.87,5.09
2022-03-31,73.2,$7.76,9.43
2021-12-31,72.56,$8.16,8.89
2021-09-30,71.21,$7.01,10.16
2021-06-30,65.54,$5.76,11.38
2021-03-31,67.17,$6.62,10.15
2020-12-31,45.93,$4.84,9.48
2020-09-30,29.43,$5.39,5.46
2020-06-30,32.32,$4.91,6.59
2020-03-31,22.77,$4.64,4.9
2019-12-31,42.83,$4.95,8.65
2019-09-30,38.71,$3.88,9.96
2019-06-30,40.64,$4.99,8.14
2019-03-31,41.46,$5.41,7.66
2018-12-31,37.45,$5.96,6.29
2018-09-30,51.72,$4.92,10.51
2018-06-30,55.66,$5.08,10.95
2018-03-31,53.23,$4.96,10.73
2017-12-31,51.61,$5.55,9.31
2017-09-30,50.55,$6.90,7.33
2017-06-30,49.37,$5.97,8.28
2017-03-31,43.34,$5.27,8.23
2016-12-31,42.52,$4.45,9.55
2016-09-30,30.55,$3.20,9.55
2016-06-30,28.28,$3.11,9.08
2016-03-31,26.73,$3.64,7.35
2015-12-31,33.99,$3.25,10.45
2015-09-30,31.27,$3.96,7.9
2015-06-30,36.32,$4.42,8.22
2015-03-31,32.63,$3.27,9.98
2014-12-31,31.05,$2.74,11.35
2014-09-30,27.14,$2.63,10.33
2014-06-30,27.78,$1.68,16.53
2014-03-31,28.83,$2.20,13.13
2013-12-31,27.48,$2.42,11.36
2013-09-30,24.99,$2.20,11.37
2013-06-30,21.41,$2.68,8.0
2013-03-31,19.86,$1.93,10.29
2012-12-31,16.52,$2.01,8.21
2012-09-30,16.16,$1.64,9.85
2012-06-30,17.87,$-0.20,0.0
2012-03-31,17.51,$1.27,13.83
2011-12-31,14.91,$1.66,9.01
2011-09-30,11.23,$2.55,4.41
2011-06-30,15.17,$4.64,3.27
2011-03-31,16.44,$5.09,3.23
2010-12-31,14.63,$5.29,2.77
2010-09-30,12.18,$3.72,3.27
2010-06-30,11.4,$2.19,5.21
2010-03-31,13.02,$2.44,5.33
2009-12-31,11.8,$1.84,6.43
