Cepton Price to Free Cash Flow Ratio Historical Data,Cepton Price to Free Cash Flow Ratio Historical Data,Cepton Price to Free Cash Flow Ratio Historical Data,Cepton Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,3.21,,0.0
2024-09-30,3.12,$-1.44,0.0
2024-03-31,2.78,$-2.08,0.0
2023-12-31,3.14,$-2.33,0.0
2023-09-30,3.8,$-5.77,0.0
2023-06-30,0.49,$-2.37,0.0
2023-03-31,0.46,$-2.44,0.0
2022-12-31,1.27,$-2.23,0.0
2024-06-30,2.69,$-0.02,0.0
2022-09-30,1.96,$-0.88,0.0
2022-06-30,1.56,$-1.47,0.0
2022-03-31,3.88,$-2.26,0.0
2021-12-31,9.93,$-2.13,0.0
