Century Therapeutics Price to Free Cash Flow Ratio Historical Data,Century Therapeutics Price to Free Cash Flow Ratio Historical Data,Century Therapeutics Price to Free Cash Flow Ratio Historical Data,Century Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.55,,0.0
2024-12-31,1.01,$-1.40,0.0
2024-09-30,1.71,$-1.48,0.0
2024-06-30,2.55,$-1.45,0.0
2024-03-31,4.18,$-1.63,0.0
2023-12-31,3.32,$-1.72,0.0
2023-09-30,2.0,$-1.76,0.0
2023-06-30,3.16,$-2.07,0.0
2023-03-31,3.47,$-2.32,0.0
2022-12-31,5.13,$-0.29,0.0
2022-09-30,9.89,$-2.21,0.0
2022-06-30,8.4,$1.09,7.72
2022-03-31,12.59,$-2.69,0.0
