Asia Pacific Wire & Cable Price to Free Cash Flow Ratio Historical Data,Asia Pacific Wire & Cable Price to Free Cash Flow Ratio Historical Data,Asia Pacific Wire & Cable Price to Free Cash Flow Ratio Historical Data,Asia Pacific Wire & Cable Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.53,,1.58
2019-03-31,2.34,$0.97,2.42
2018-03-31,2.55,$1.72,1.49
2017-03-31,2.58,$-0.56,0.0
2016-03-31,1.73,$0.25,6.91
2015-12-31,1.43,0,0.0
2015-09-30,1.28,$-0.96,0.0
2015-06-30,2.24,$0.16,13.71
2015-03-31,2.3,$-1.74,0.0
2014-12-31,2.45,$0.16,14.97
2014-09-30,2.34,$0.69,3.36
2014-06-30,2.37,$0.81,2.92
2014-03-31,2.56,$1.75,1.46
2013-12-31,3.12,$0.81,3.85
2013-09-30,3.49,$0.06,55.73
2013-06-30,3.26,$0.06,52.13
2013-03-31,3.76,$1.29,2.92
2012-12-31,3.14,$0.06,50.18
2012-09-30,2.72,$-0.52,0.0
2012-06-30,2.63,0,0.0
2012-03-31,3.24,$-0.40,0.0
2011-12-31,2.63,0,0.0
2011-09-30,2.67,$0.08,33.44
2011-06-30,3.99,$-0.45,0.0
2011-03-31,4.5,$-0.62,0.0
2010-12-31,5.72,$-0.45,0.0
2010-09-30,4.59,0,0.0
