ECB Bancorp Price to Free Cash Flow Ratio Historical Data,ECB Bancorp Price to Free Cash Flow Ratio Historical Data,ECB Bancorp Price to Free Cash Flow Ratio Historical Data,ECB Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.14,,29.93
2024-09-30,14.32,$0.51,28.31
2024-06-30,12.48,$0.44,28.65
2024-03-31,12.98,$0.50,26.13
2023-12-31,12.56,$0.72,17.55
2023-09-30,10.98,$0.77,14.2
2023-06-30,13.08,$1.28,10.21
