China Natural Resources Price to Free Cash Flow Ratio Historical Data,China Natural Resources Price to Free Cash Flow Ratio Historical Data,China Natural Resources Price to Free Cash Flow Ratio Historical Data,China Natural Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.58,,0.0
2019-06-30,8.25,$-0.10,0.0
2018-06-30,11.25,$0.06,194.64
2017-06-30,10.5,$-0.38,0.0
2016-06-30,6.4,$-0.45,0.0
2015-12-31,6.85,0,0.0
2015-06-30,10.78,$8.32,1.3
2014-12-31,11.8,0,0.0
2014-06-30,16.4,$6.99,2.35
2013-12-31,16.5,0,0.0
2013-06-30,18.25,$0.97,18.79
2012-12-31,21.5,0,0.0
2012-06-30,22.25,$-6.99,0.0
2011-12-31,34.0,0,0.0
2011-06-30,48.25,$-9.50,0.0
2010-12-31,87.05,0,0.0
2010-09-30,54.5,0,0.0
