La-Z-Boy Price to Free Cash Flow Ratio Historical Data,La-Z-Boy Price to Free Cash Flow Ratio Historical Data,La-Z-Boy Price to Free Cash Flow Ratio Historical Data,La-Z-Boy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.08,,14.94
2025-01-31,47.2,$2.62,18.04
2024-10-31,37.86,$2.58,14.65
2024-07-31,43.71,$3.02,14.49
2024-04-30,32.52,$2.53,12.85
2024-01-31,34.28,$3.21,10.68
2023-10-31,28.64,$4.17,6.87
2023-07-31,30.54,$3.26,9.38
2023-04-30,27.78,$3.16,8.8
2023-01-31,27.33,$2.40,11.41
2022-10-31,23.63,$0.66,35.87
2022-07-31,26.42,$1.14,23.25
2022-04-30,24.75,$0.56,43.83
2022-01-31,34.38,$0.94,36.56
2021-10-31,30.98,$1.72,18.01
2021-07-31,31.16,$3.54,8.81
2021-04-30,41.11,$5.93,6.94
2021-01-31,35.67,$5.49,6.5
2020-10-31,31.42,$6.00,5.23
2020-07-31,26.07,$4.72,5.52
2020-04-30,21.48,$2.77,7.75
2020-01-31,27.92,$3.06,9.12
2019-10-31,32.22,$2.45,13.15
2019-07-31,29.81,$2.01,14.86
2019-04-30,29.51,$2.20,13.4
2019-01-31,26.55,$1.45,18.25
2018-10-31,24.8,$1.36,18.28
2018-07-31,27.11,$1.80,15.02
2018-04-30,25.5,$1.68,15.18
2018-01-31,26.59,$2.44,10.9
2017-10-31,23.68,$2.44,9.7
2017-07-31,29.56,$2.20,13.43
2017-04-30,24.3,$2.60,9.36
2017-01-31,24.81,$2.37,10.48
2016-10-31,20.23,$2.52,8.04
2016-07-31,26.03,$2.54,10.26
2016-04-30,22.19,$1.83,12.13
2016-01-31,18.32,$1.38,13.27
2015-10-31,24.3,$0.73,33.23
2015-07-31,21.56,$0.76,28.31
2015-04-30,22.18,$0.49,45.54
2015-01-31,22.51,$0.46,49.19
2014-10-31,19.22,$0.68,28.38
2014-07-31,17.65,$0.51,34.47
2014-04-30,20.27,$1.10,18.39
2014-01-31,22.47,$1.42,15.85
2013-10-31,19.23,$1.50,12.79
2013-07-31,17.24,$1.47,11.73
2013-04-30,14.98,$0.88,17.12
2013-01-31,12.95,$0.68,18.99
2012-10-31,13.39,$0.86,15.58
2012-07-31,9.87,$0.92,10.73
2012-04-30,12.44,$1.29,9.66
2012-01-31,10.88,$1.14,9.58
2011-10-31,8.39,$0.97,8.63
2011-07-31,7.24,$0.62,11.74
2011-04-30,9.71,$0.34,28.5
2011-01-31,6.87,$0.58,11.78
2010-10-31,6.41,$0.46,14.06
2010-07-31,7.07,$1.03,6.84
2010-04-30,10.77,$1.59,6.79
2010-01-31,8.38,$1.73,4.85
2009-10-31,5.86,$1.58,3.72
