American Shared Hospital Services Price to Free Cash Flow Ratio Historical Data,American Shared Hospital Services Price to Free Cash Flow Ratio Historical Data,American Shared Hospital Services Price to Free Cash Flow Ratio Historical Data,American Shared Hospital Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.79,,0.0
2024-09-30,3.05,$-1.01,0.0
2024-06-30,3.2,$-0.96,0.0
2024-03-31,2.95,$-0.79,0.0
2023-12-31,2.38,$-0.09,0.0
2023-09-30,2.47,$0.65,3.83
2023-06-30,2.56,$0.87,2.94
2023-03-31,2.81,$1.30,2.17
2022-12-31,2.93,$1.09,2.7
2022-09-30,2.59,$1.15,2.26
2022-06-30,2.22,$0.77,2.87
2022-03-31,2.34,$0.52,4.53
2021-12-31,2.37,$0.76,3.13
2021-09-30,2.76,$0.68,4.05
2021-06-30,2.93,$1.06,2.76
2021-03-31,2.77,$1.28,2.16
2020-12-31,2.22,$1.53,1.45
2020-09-30,1.81,$1.58,1.15
2020-06-30,2.14,$1.66,1.29
2020-03-31,1.55,$1.34,1.16
2019-12-31,2.44,$1.19,2.05
2019-09-30,2.51,$1.17,2.15
2019-06-30,2.87,$0.91,3.14
2019-03-31,2.78,$1.12,2.48
2018-12-31,2.38,$1.11,2.14
2018-09-30,3.5,$1.38,2.53
2018-06-30,2.75,$1.46,1.88
2018-03-31,2.55,$1.35,1.89
2017-12-31,2.6,$1.25,2.08
2017-09-30,2.85,$1.21,2.36
2017-06-30,3.9,$1.41,2.76
2017-03-31,4.33,$1.32,3.27
2016-12-31,3.35,$1.31,2.55
2016-09-30,3.11,$1.37,2.26
2016-06-30,2.03,$1.43,1.42
2016-03-31,2.22,$1.43,1.55
2015-12-31,1.84,$1.39,1.33
2015-09-30,1.92,$0.38,5.02
2015-06-30,2.53,$0.33,7.75
2015-03-31,2.54,$0.24,10.4
2014-12-31,2.81,$0.31,9.05
2014-09-30,2.2,$1.50,1.47
2014-06-30,2.6,$1.17,2.23
2014-03-31,3.23,$1.27,2.54
2013-12-31,2.77,$1.38,2.01
2013-09-30,2.56,$0.64,4.02
2013-06-30,2.19,$0.92,2.39
2013-03-31,1.98,$0.81,2.44
2012-12-31,2.73,$0.05,53.53
2012-09-30,2.99,$-0.39,0.0
2012-06-30,3.19,$-0.58,0.0
2012-03-31,3.45,$-0.56,0.0
2011-12-31,2.66,$0.27,9.94
2011-09-30,2.75,$1.29,2.14
2011-06-30,3.15,$1.58,1.99
2011-03-31,3.51,$1.69,2.08
2010-12-31,2.82,$1.49,1.89
2010-09-30,3.08,$1.30,2.37
2010-06-30,2.95,$1.27,2.32
2010-03-31,2.89,$1.46,1.99
2009-12-31,2.95,$1.41,2.1
