VOXX Price to Free Cash Flow Ratio Historical Data,VOXX Price to Free Cash Flow Ratio Historical Data,VOXX Price to Free Cash Flow Ratio Historical Data,VOXX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.49,,6.76
2024-11-30,7.81,$1.11,7.05
2024-08-31,5.49,$-0.46,0.0
2024-05-31,3.69,$-1.30,0.0
2024-02-29,8.5,$-0.99,0.0
2023-11-30,10.74,$0.43,24.99
2023-08-31,8.64,$0.32,27.03
2023-05-31,9.68,$-0.56,0.0
2023-02-28,11.43,$-1.72,0.0
2022-11-30,10.99,$-1.83,0.0
2022-08-31,9.64,$-1.97,0.0
2022-05-31,8.38,$-0.53,0.0
2022-02-28,10.73,$-0.28,0.0
2021-11-30,10.29,$1.08,9.54
2021-08-31,10.47,$1.12,9.35
2021-05-31,15.04,$0.16,91.99
2021-02-28,20.73,$1.37,15.16
2020-11-30,12.87,$0.65,19.7
2020-08-31,6.28,$0.86,7.31
2020-05-31,4.77,$0.66,7.18
2020-02-29,3.71,$0.33,11.3
2019-11-30,4.64,$-0.09,0.0
2019-08-31,4.4,$0.17,25.36
2019-05-31,3.57,$0.75,4.74
2019-02-28,5.0,$0.73,6.81
2018-11-30,5.02,$0.78,6.4
2018-08-31,5.4,$0.22,24.5
2018-05-31,5.6,$-1.07,0.0
2018-02-28,5.4,$-1.29,0.0
2017-11-30,6.75,$-1.43,0.0
2017-08-31,8.1,$-1.61,0.0
2017-05-31,5.8,$-0.31,0.0
2017-02-28,4.95,$-0.58,0.0
2016-11-30,4.85,$-0.89,0.0
2016-08-31,3.07,$0.15,19.91
2016-05-31,3.31,$0.14,24.02
2016-02-29,3.99,$0.34,11.74
2015-11-30,5.74,$0.66,8.76
2015-08-31,7.75,$0.20,38.37
2015-05-31,8.55,$0.07,114.15
2015-02-28,8.6,$1.25,6.9
2014-11-30,8.41,$1.67,5.04
2014-08-31,9.9,$1.27,7.79
2014-05-31,8.67,$1.89,4.58
2014-02-28,13.0,$2.16,6.01
2013-11-30,17.84,$2.51,7.11
2013-08-31,12.16,$1.99,6.1
2013-05-31,11.12,$1.00,11.07
2013-02-28,9.95,$0.23,44.22
2012-11-30,6.74,$-0.02,0.0
2012-08-31,7.5,$0.37,20.11
2012-05-31,9.86,$1.46,6.75
2012-02-29,12.79,$2.17,5.89
2011-11-30,7.24,$2.83,2.55
2011-08-31,6.41,$2.50,2.56
2011-05-31,7.61,$1.60,4.76
2011-02-28,8.28,$1.26,6.58
2010-11-30,6.85,$1.00,6.86
2010-08-31,6.33,$1.22,5.2
2010-05-31,8.17,$2.24,3.64
2010-02-28,7.22,$1.01,7.13
2009-11-30,7.37,$0.80,9.16
