Powell Industries Price to Free Cash Flow Ratio Historical Data,Powell Industries Price to Free Cash Flow Ratio Historical Data,Powell Industries Price to Free Cash Flow Ratio Historical Data,Powell Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,181.36,,45.1
2024-12-31,221.65,$4.02,55.12
2024-09-30,221.77,$7.94,27.93
2024-06-30,143.01,$15.18,9.42
2024-03-31,141.68,$18.22,7.77
2023-12-31,87.86,$21.48,4.09
2023-09-30,82.14,$14.42,5.7
2023-06-30,59.85,$10.32,5.8
2023-03-31,41.87,$4.99,8.39
2022-12-31,34.37,$1.68,20.46
2022-09-30,20.39,$-0.45,0.0
2022-06-30,22.39,$-1.66,0.0
2022-03-31,18.42,$-2.30,0.0
2021-12-31,27.66,$-2.99,0.0
2021-09-30,22.83,$-2.83,0.0
2021-06-30,28.47,$-2.04,0.0
2021-03-31,30.93,$3.73,8.28
2020-12-31,26.69,$3.54,7.54
2020-09-30,21.62,$5.75,3.76
2020-06-30,24.31,$7.10,3.43
2020-03-31,22.56,$3.81,5.92
2019-12-31,42.74,$4.80,8.91
2019-09-30,33.93,$5.54,6.12
2019-06-30,32.7,$2.37,13.79
2019-03-31,22.69,$0.37,61.7
2018-12-31,21.21,$-0.77,0.0
2018-09-30,30.49,$-2.86,0.0
2018-06-30,29.1,$-1.84,0.0
2018-03-31,22.26,$0.17,133.52
2017-12-31,23.54,$1.32,17.86
2017-09-30,24.41,$2.90,8.42
2017-06-30,25.8,$3.23,7.99
2017-03-31,27.56,$5.76,4.78
2016-12-31,30.98,$4.46,6.95
2016-09-30,31.62,$6.30,5.02
2016-06-30,30.85,$4.72,6.54
2016-03-31,23.2,$3.02,7.69
2015-12-31,20.06,$3.70,5.43
2015-09-30,23.01,$-1.82,0.0
2015-06-30,26.64,$0.22,122.7
2015-03-31,25.4,$-2.07,0.0
2014-12-31,36.62,$-4.03,0.0
2014-09-30,30.31,$-0.60,0.0
2014-06-30,48.27,$-3.61,0.0
2014-03-31,47.65,$-1.80,0.0
2013-12-31,49.07,$0.81,60.8
2013-09-30,44.72,$1.50,29.89
2013-06-30,37.68,$1.64,22.95
2013-03-31,38.35,$-1.27,0.0
2012-12-31,30.3,$-0.64,0.0
2012-09-30,28.21,$-2.92,0.0
2012-06-30,27.26,$-2.69,0.0
2012-03-31,24.99,$0.61,40.88
2011-12-31,22.82,$-1.42,0.0
2011-09-30,22.6,$0.72,31.22
2011-06-30,26.63,$2.75,9.68
2011-03-31,28.77,$1.78,16.14
2010-12-31,23.99,$4.36,5.51
2010-09-30,22.7,$5.11,4.44
2010-06-30,19.95,$5.25,3.8
2010-03-31,23.73,$7.40,3.21
2009-12-31,23.0,$11.53,2.0
