SOBR Safe Price to Free Cash Flow Ratio Historical Data,SOBR Safe Price to Free Cash Flow Ratio Historical Data,SOBR Safe Price to Free Cash Flow Ratio Historical Data,SOBR Safe Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.56,,0.0
2024-09-30,0.06,$-23.09,0.0
2024-06-30,0.15,$-31.01,0.0
2024-03-31,0.41,$-34.43,0.0
2023-12-31,0.45,$-36.30,0.0
2023-09-30,1.1,$-47.74,0.0
2023-06-30,1.7,$-48.30,0.0
2023-03-31,2.22,$-72.50,0.0
