Vicarious Surgical Price to Free Cash Flow Ratio Historical Data,Vicarious Surgical Price to Free Cash Flow Ratio Historical Data,Vicarious Surgical Price to Free Cash Flow Ratio Historical Data,Vicarious Surgical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.0,,0.0
2024-09-30,5.68,$-9.65,0.0
2024-06-30,5.87,$-9.43,0.0
2024-03-31,0.3,$-11.14,0.0
2023-12-31,0.37,$-13.16,0.0
2023-09-30,0.59,$-14.03,0.0
2023-06-30,1.83,$-15.69,0.0
2023-03-31,2.27,$-16.22,0.0
2022-12-31,2.02,$-15.67,0.0
2022-09-30,3.35,$-14.55,0.0
2022-06-30,2.94,$-15.29,0.0
2022-03-31,5.06,$-13.23,0.0
2021-12-31,10.62,$-10.74,0.0
2021-09-30,14.96,$-4.88,0.0
2021-06-30,9.97,$-3.50,0.0
