Aerovate Therapeutics Price to Free Cash Flow Ratio Historical Data,Aerovate Therapeutics Price to Free Cash Flow Ratio Historical Data,Aerovate Therapeutics Price to Free Cash Flow Ratio Historical Data,Aerovate Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.5,,0.0
2024-09-30,2.09,$-2.72,0.0
2024-06-30,1.66,$-2.65,0.0
2024-03-31,29.57,$-2.55,0.0
2023-12-31,22.63,$-2.16,0.0
2023-09-30,13.57,$-2.13,0.0
2023-06-30,17.15,$-2.05,0.0
2023-03-31,20.17,$-1.84,0.0
2022-12-31,29.3,$-1.61,0.0
2022-09-30,16.58,$-2.64,0.0
2022-06-30,15.63,$29.34,0.53
2022-03-31,18.33,$-2.48,0.0
