Xinyuan Real Estate Co Price to Free Cash Flow Ratio Historical Data,Xinyuan Real Estate Co Price to Free Cash Flow Ratio Historical Data,Xinyuan Real Estate Co Price to Free Cash Flow Ratio Historical Data,Xinyuan Real Estate Co Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.65,,0.03
2020-12-31,22.0,$79.67,0.28
2020-09-30,18.8,$46.95,0.4
2020-06-30,21.4,$46.95,0.46
2020-03-31,20.32,$46.95,0.43
2019-12-31,35.23,$46.95,0.75
2019-09-30,36.9,$-4.91,0.0
2019-06-30,37.11,$30.33,1.22
2019-03-31,42.23,$-4.91,0.0
2018-12-31,32.31,$-4.91,0.0
2018-09-30,37.45,$20.45,1.83
2018-06-30,36.12,$5.37,6.73
2018-03-31,42.02,$20.45,2.05
2017-12-31,53.31,$20.45,2.61
2017-09-30,43.75,$-23.55,0.0
2017-06-30,39.13,"$-2,473.47",0.0
2017-03-31,32.64,$-23.55,0.0
2016-12-31,35.98,$-23.55,0.0
2016-09-30,45.02,$-0.62,0.0
2016-06-30,34.33,"$2,459.18",0.01
2016-03-31,30.73,$-0.62,0.0
2015-12-31,25.28,$-0.62,0.0
2015-09-30,19.11,$-119.46,0.0
2015-06-30,21.36,$-149.49,0.0
2015-03-31,19.47,$-119.46,0.0
2014-12-31,15.15,$-119.46,0.0
2014-09-30,18.55,$-23.71,0.0
2014-06-30,26.25,$-23.71,0.0
2014-03-31,31.03,$-23.71,0.0
2013-12-31,32.51,$-23.71,0.0
2013-09-30,36.2,$25.42,1.42
2013-06-30,25.82,$25.42,1.02
2013-03-31,29.15,$25.42,1.15
2012-12-31,20.94,$25.42,0.82
2012-09-30,16.47,$28.53,0.58
2012-06-30,17.29,$28.53,0.61
2012-03-31,19.5,$28.53,0.68
2011-12-31,9.84,$28.53,0.34
2011-09-30,9.81,$6.60,1.49
2011-06-30,12.01,$6.60,1.82
2011-03-31,12.35,$6.60,1.87
2010-12-31,13.82,$6.60,2.09
2010-09-30,12.92,$-2.66,0.0
2010-06-30,12.5,$15.39,0.81
2010-03-31,20.96,$15.39,1.36
2009-12-31,23.48,$15.39,1.53
