MGE Energy Price to Free Cash Flow Ratio Historical Data,MGE Energy Price to Free Cash Flow Ratio Historical Data,MGE Energy Price to Free Cash Flow Ratio Historical Data,MGE Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,92.56,,82.09
2024-12-31,93.96,$1.13,83.33
2024-09-30,91.06,$0.48,188.37
2024-06-30,74.01,$0.41,178.48
2024-03-31,77.56,$0.78,99.94
2023-12-31,70.77,$0.43,165.31
2023-09-30,66.66,$0.32,208.71
2023-06-30,76.53,$-1.31,0.0
2023-03-31,74.71,$-1.22,0.0
2022-12-31,67.33,$-0.59,0.0
2022-09-30,62.41,$-0.88,0.0
2022-06-30,73.63,$0.74,99.35
2022-03-31,75.11,$0.18,415.45
2021-12-31,77.01,$-0.43,0.0
2021-09-30,68.46,$-0.03,0.0
2021-06-30,69.0,$-0.79,0.0
2021-03-31,65.85,$-0.81,0.0
2020-12-31,64.22,$-0.86,0.0
2020-09-30,57.15,$-0.57,0.0
2020-06-30,58.51,$-1.16,0.0
2020-03-31,59.07,$-1.38,0.0
2019-12-31,70.79,$-0.97,0.0
2019-09-30,71.41,$-1.88,0.0
2019-06-30,65.03,$-1.26,0.0
2019-03-31,60.18,$-1.36,0.0
2018-12-31,52.81,$-1.71,0.0
2018-09-30,56.23,$-0.48,0.0
2018-06-30,55.24,$-0.22,0.0
2018-03-31,48.89,$0.30,165.0
2017-12-31,54.65,$0.75,72.71
2017-09-30,55.68,$0.85,65.34
2017-06-30,55.19,$1.05,52.66
2017-03-31,55.48,$1.77,31.4
2016-12-31,55.47,$1.85,29.95
2016-09-30,47.77,$1.90,25.19
2016-06-30,47.5,$2.37,20.06
2016-03-31,43.67,$2.14,20.42
2015-12-31,38.55,$1.99,19.32
2015-09-30,33.99,$1.49,22.84
2015-06-30,31.71,$0.97,32.86
2015-03-31,36.03,$0.65,55.22
2014-12-31,36.84,$1.04,35.39
2014-09-30,29.9,$1.72,17.41
2014-06-30,31.49,$1.75,18.0
2014-03-31,31.04,$1.68,18.46
2013-12-31,30.23,$0.61,49.38
2013-09-30,28.36,$0.41,69.72
2013-06-30,28.26,$0.85,33.4
2013-03-31,28.4,$1.09,26.05
2012-12-31,25.91,$1.37,18.88
2012-09-30,26.73,$1.56,17.19
2012-06-30,23.68,$1.38,17.1
2012-03-31,22.03,$1.35,16.36
2011-12-31,23.01,$1.89,12.16
2011-09-30,19.83,$2.06,9.62
2011-06-30,19.59,$1.95,10.05
2011-03-31,19.39,$2.23,8.71
2010-12-31,20.29,$1.94,10.45
2010-09-30,18.62,$1.37,13.63
2010-06-30,16.78,$0.89,18.94
2010-03-31,16.29,$0.78,20.89
2009-12-31,16.29,$1.16,14.07
