Ascent Industries Price to Free Cash Flow Ratio Historical Data,Ascent Industries Price to Free Cash Flow Ratio Historical Data,Ascent Industries Price to Free Cash Flow Ratio Historical Data,Ascent Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.9,,10.19
2024-12-31,11.18,$1.27,8.83
2024-09-30,9.7,$0.56,17.39
2024-06-30,9.76,$0.50,19.53
2024-03-31,10.19,$0.73,14.05
2023-12-31,9.56,$1.99,4.8
2023-09-30,8.87,$2.28,3.88
2023-06-30,9.09,$1.79,5.09
2023-03-31,9.15,$1.55,5.9
2022-12-31,8.67,$0.22,39.55
2022-09-30,14.01,$0.07,191.92
2022-06-30,14.06,$1.60,8.77
2022-03-31,16.05,$2.04,7.86
2021-12-31,16.43,$2.00,8.19
2021-09-30,10.99,$2.99,3.68
2021-06-30,9.99,$2.31,4.33
2021-03-31,8.84,$1.62,5.46
2020-12-31,7.8,$1.59,4.9
2020-09-30,5.52,$1.36,4.05
2020-06-30,7.48,$1.22,6.16
2020-03-31,8.73,$1.99,4.38
2019-12-31,12.91,$2.70,4.77
2019-09-30,15.95,$0.58,27.5
2019-06-30,15.62,$-0.12,0.0
2019-03-31,15.2,$-1.80,0.0
2018-12-31,16.59,$-3.22,0.0
2018-09-30,22.5,$-1.79,0.0
2018-06-30,19.65,$-1.21,0.0
2018-03-31,14.38,$-0.26,0.0
2017-12-31,13.2,$-0.34,0.0
2017-09-30,12.2,$-0.40,0.0
2017-06-30,11.04,$1.42,7.75
2017-03-31,11.96,$1.80,6.66
2016-12-31,10.69,$2.39,4.47
2016-09-30,9.28,$2.94,3.15
2016-06-30,7.48,$0.87,8.58
2016-03-31,7.73,$1.80,4.3
2015-12-31,6.72,$0.65,10.37
2015-09-30,8.49,$0.25,33.6
2015-06-30,12.86,$1.53,8.41
2015-03-31,13.53,$0.26,52.52
2014-12-31,16.53,$2.39,6.92
2014-09-30,16.03,$1.18,13.58
2014-06-30,15.13,$-0.15,0.0
2014-03-31,13.23,$-0.70,0.0
2013-12-31,14.15,$-1.59,0.0
2013-09-30,14.86,$-0.18,0.0
2013-06-30,14.09,$-1.09,0.0
2013-03-31,12.7,$-0.87,0.0
2012-12-31,12.98,$-0.43,0.0
2012-09-30,12.29,$-0.76,0.0
2012-06-30,10.14,$-0.61,0.0
2012-03-31,11.7,$-0.22,0.0
2011-12-31,9.15,$-1.10,0.0
2011-09-30,9.56,$-1.10,0.0
2011-06-30,11.79,$-0.05,0.0
2011-03-31,11.18,$-0.75,0.0
2010-12-31,10.53,$-1.76,0.0
2010-09-30,7.2,$-1.97,0.0
2010-06-30,7.11,$-1.41,0.0
2010-03-31,6.88,$0.67,10.21
2009-12-31,7.73,$3.10,2.49
