Sun Life Financial Price to Free Cash Flow Ratio Historical Data,Sun Life Financial Price to Free Cash Flow Ratio Historical Data,Sun Life Financial Price to Free Cash Flow Ratio Historical Data,Sun Life Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,56.69,,19.15
2024-12-31,59.34,$2.96,20.05
2024-09-30,57.23,$6.54,8.76
2024-06-30,47.79,$4.85,9.85
2024-03-31,53.24,$3.71,14.37
2023-12-31,50.06,$6.84,7.32
2023-09-30,46.57,$3.76,12.4
2023-06-30,49.17,$3.76,13.08
2023-03-31,43.56,$6.32,6.9
2022-12-31,42.83,$5.72,7.49
2022-09-30,36.27,$1.83,19.81
2022-06-30,41.31,$0.67,61.61
2022-03-31,49.79,$-1.91,0.0
2021-12-31,49.16,$-2.62,0.0
2021-09-30,44.99,$1.49,30.19
2021-06-30,44.7,$4.14,10.81
2021-03-31,43.47,$7.57,5.74
2020-12-31,37.89,$8.99,4.21
2020-09-30,34.39,$9.67,3.56
2020-06-30,30.73,$6.07,5.06
2020-03-31,26.53,$4.70,5.64
2019-12-31,37.32,$3.07,12.15
2019-09-30,36.37,$3.35,10.86
2019-06-30,33.24,$4.46,7.45
2019-03-31,30.57,$2.57,11.87
2018-12-31,26.15,$4.73,5.52
2018-09-30,31.0,$3.10,9.99
2018-06-30,31.01,$2.56,12.09
2018-03-31,31.49,$3.64,8.64
2017-12-31,31.33,$2.25,13.93
2017-09-30,29.96,$3.12,9.6
2017-06-30,26.66,$3.04,8.78
2017-03-31,26.99,$3.15,8.56
2016-12-31,28.12,$4.32,6.52
2016-09-30,23.63,$4.76,4.96
2016-06-30,23.61,$5.33,4.43
2016-03-31,23.0,$4.41,5.22
2015-12-31,22.03,$5.20,4.23
2015-09-30,22.57,$3.06,7.37
2015-06-30,23.15,$3.16,7.33
2015-03-31,21.15,$3.51,6.02
2014-12-31,24.52,$2.60,9.44
2014-09-30,24.45,$2.49,9.81
2014-06-30,24.53,$2.07,11.87
2014-03-31,22.92,$-0.44,0.0
2013-12-31,23.16,$0.89,25.89
2013-09-30,20.76,$1.57,13.2
2013-06-30,19.03,$-0.38,0.0
2013-03-31,17.11,$3.83,4.47
2012-12-31,16.42,$0.93,17.59
2012-09-30,14.19,$1.29,10.97
2012-06-30,13.08,$1.31,9.99
2012-03-31,13.77,$2.29,6.0
2011-12-31,10.58,$4.50,2.35
2011-09-30,13.35,$5.73,2.33
2011-06-30,16.63,$7.24,2.3
2011-03-31,16.97,$4.54,3.74
2010-12-31,16.08,$4.82,3.34
2010-09-30,13.74,$3.73,3.69
2010-06-30,13.68,$4.86,2.82
2010-03-31,16.5,$5.57,2.96
2009-12-31,14.57,$5.41,2.69
