Amylyx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Amylyx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Amylyx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Amylyx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.73,,0.0
2024-12-31,3.78,$-2.99,0.0
2024-09-30,3.24,$-1.94,0.0
2024-06-30,1.9,$-0.88,0.0
2024-03-31,2.84,$0.22,12.94
2023-12-31,14.72,$0.15,96.46
2023-09-30,18.31,$-0.90,0.0
2023-06-30,21.57,$-1.56,0.0
2023-03-31,29.34,$-2.40,0.0
2022-12-31,36.95,$-3.12,0.0
