Lithia Motors Price to Free Cash Flow Ratio Historical Data,Lithia Motors Price to Free Cash Flow Ratio Historical Data,Lithia Motors Price to Free Cash Flow Ratio Historical Data,Lithia Motors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,305.02,,93.72
2024-12-31,357.43,$3.25,109.82
2024-09-30,317.19,$-9.13,0.0
2024-06-30,251.62,$-12.94,0.0
2024-03-31,299.27,$-13.97,0.0
2023-12-31,326.97,$-24.98,0.0
2023-09-30,292.69,$-18.16,0.0
2023-06-30,300.9,$-32.60,0.0
2023-03-31,225.99,$-33.92,0.0
2022-12-31,201.78,$-31.68,0.0
2022-09-30,211.02,$-32.07,0.0
2022-06-30,269.87,$-1.07,0.0
2022-03-31,294.29,$35.46,8.3
2021-12-31,290.86,$53.11,5.48
2021-09-30,310.2,$45.89,6.76
2021-06-30,335.91,$25.67,13.09
2021-03-31,380.97,$29.20,13.05
2020-12-31,285.6,$15.90,17.96
2020-09-30,222.17,$31.10,7.14
2020-06-30,147.32,$40.18,3.67
2020-03-31,79.4,$18.47,4.3
2019-12-31,142.23,$17.14,8.3
2019-09-30,127.84,$19.36,6.6
2019-06-30,114.44,$16.21,7.06
2019-03-31,89.13,$16.70,5.34
2018-12-31,73.11,$14.89,4.91
2018-09-30,77.95,$5.36,14.54
2018-06-30,89.96,$3.06,29.44
2018-03-31,95.34,$-1.78,0.0
2017-12-31,107.45,$2.34,45.87
2017-09-30,113.54,$3.17,35.83
2017-06-30,88.7,$4.55,19.48
2017-03-31,80.39,$3.20,25.11
2016-12-31,90.64,$-0.30,0.0
2016-09-30,89.13,$2.70,32.96
2016-06-30,66.11,$1.66,39.94
2016-03-31,80.99,$0.26,313.42
2015-12-31,98.71,$-0.13,0.0
2015-09-30,99.88,$-1.60,0.0
2015-06-30,104.37,$-1.11,0.0
2015-03-31,91.51,$-0.06,0.0
2014-12-31,79.66,$-1.90,0.0
2014-09-30,69.4,$-2.14,0.0
2014-06-30,86.1,$-2.11,0.0
2014-03-31,60.69,$-3.51,0.0
2013-12-31,63.27,$-0.51,0.0
2013-09-30,66.36,$0.58,114.61
2013-06-30,48.39,$-3.77,0.0
2013-03-31,42.99,$-6.85,0.0
2012-12-31,33.88,$-10.36,0.0
2012-09-30,29.99,$-7.70,0.0
2012-06-30,20.68,$-6.08,0.0
2012-03-31,23.41,$-1.54,0.0
2011-12-31,19.48,$-0.10,0.0
2011-09-30,12.77,$-0.65,0.0
2011-06-30,17.36,$-1.01,0.0
2011-03-31,12.84,$-0.75,0.0
2010-12-31,12.55,$-0.71,0.0
2010-09-30,8.39,$-3.16,0.0
2010-06-30,5.37,$-3.15,0.0
2010-03-31,5.53,$-0.79,0.0
2009-12-31,7.1,$0.15,47.26
