BorgWarner Price to Free Cash Flow Ratio Historical Data,BorgWarner Price to Free Cash Flow Ratio Historical Data,BorgWarner Price to Free Cash Flow Ratio Historical Data,BorgWarner Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.95,,9.1
2024-12-31,31.79,$3.18,9.99
2024-09-30,36.17,$3.76,9.62
2024-06-30,32.03,$3.08,10.4
2024-03-31,34.51,$1.95,17.67
2023-12-31,35.49,$2.54,13.98
2023-09-30,39.84,$1.48,26.89
2023-06-30,48.13,$1.79,26.96
2023-03-31,48.15,$1.93,24.92
2022-12-31,39.33,$2.44,16.11
2022-09-30,30.56,$2.39,12.8
2022-06-30,32.33,$1.85,17.51
2022-03-31,37.53,$2.06,18.26
2021-12-31,43.3,$2.93,14.77
2021-09-30,41.35,$2.05,20.18
2021-06-30,46.27,$3.86,12.0
2021-03-31,44.04,$3.39,13.01
2020-12-31,36.57,$3.45,10.59
2020-09-30,36.51,$2.80,13.03
2020-06-30,33.13,$2.27,14.59
2020-03-31,22.75,$3.65,6.24
2019-12-31,40.28,$2.59,15.54
2019-09-30,33.92,$4.30,7.88
2019-06-30,38.62,$3.68,10.51
2019-03-31,35.17,$2.99,11.74
2018-12-31,31.67,$2.77,11.44
2018-09-30,38.84,$2.61,14.86
2018-06-30,39.03,$2.41,16.18
2018-03-31,45.27,$2.67,16.94
2017-12-31,45.88,$2.93,15.65
2017-09-30,45.87,$2.46,18.68
2017-06-30,37.81,$2.56,14.77
2017-03-31,37.18,$2.47,15.07
2016-12-31,34.97,$2.49,14.07
2016-09-30,31.07,$2.21,14.07
2016-06-30,25.97,$1.75,14.83
2016-03-31,33.65,$1.44,23.29
2015-12-31,37.74,$1.29,29.3
2015-09-30,36.2,$0.62,58.19
2015-06-30,49.32,$0.89,55.14
2015-03-31,52.37,$0.92,57.01
2014-12-31,47.48,$1.04,45.52
2014-09-30,45.35,$1.01,44.97
2014-06-30,56.08,$1.15,48.85
2014-03-31,52.78,$1.26,41.95
2013-12-31,47.89,$1.30,36.81
2013-09-30,43.32,$1.79,24.24
2013-06-30,36.71,$1.89,19.39
2013-03-31,32.96,$1.89,17.46
2012-12-31,30.52,$1.94,15.72
2012-09-30,29.45,$1.54,19.1
2012-06-30,27.95,$1.37,20.33
2012-03-31,35.94,$1.40,25.65
2011-12-31,27.16,$1.22,22.19
2011-09-30,25.8,$1.30,19.82
2011-06-30,34.43,$0.97,35.44
2011-03-31,33.96,$0.55,61.77
2010-12-31,30.84,$1.01,30.46
2010-09-30,22.42,$0.83,26.94
2010-06-30,15.91,$0.79,20.16
2010-03-31,16.27,$0.67,24.19
2009-12-31,14.16,$0.77,18.5
