Dollar General Price to Free Cash Flow Ratio Historical Data,Dollar General Price to Free Cash Flow Ratio Historical Data,Dollar General Price to Free Cash Flow Ratio Historical Data,Dollar General Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,81.67,,10.88
2024-10-31,80.04,$7.51,10.66
2024-07-31,119.55,$7.70,15.52
2024-04-30,137.58,$5.41,25.42
2024-01-31,130.06,$3.17,40.99
2023-10-31,116.71,$2.07,56.32
2023-07-31,164.62,$0.44,371.69
2023-04-30,215.15,$0.39,555.22
2023-01-31,226.33,$1.90,119.33
2022-10-31,246.56,$2.20,112.24
2022-07-31,239.62,$5.53,43.35
2022-04-30,228.6,$6.60,34.66
2022-01-31,200.15,$7.63,26.22
2021-10-31,212.29,$6.81,31.16
2021-07-31,222.5,$4.94,45.05
2021-04-30,204.99,$7.10,28.88
2021-01-31,185.39,$11.40,16.26
2020-10-31,198.49,$11.99,16.56
2020-07-31,180.77,$12.25,14.75
2020-04-30,166.11,$10.07,16.5
2020-01-31,145.06,$5.64,25.72
2019-10-31,151.3,$6.11,24.74
2019-07-31,126.21,$5.82,21.68
2019-04-30,118.47,$5.53,21.43
2019-01-31,108.17,$5.31,20.39
2018-10-31,104.11,$5.47,19.05
2018-07-31,91.49,$5.23,17.49
2018-04-30,89.71,$4.33,20.73
2018-01-31,95.55,$4.23,22.57
2017-10-31,74.7,$3.57,20.95
2017-07-31,69.23,$3.60,19.23
2017-04-30,66.97,$4.00,16.72
2017-01-31,67.74,$3.73,18.14
2016-10-31,63.19,$4.13,15.28
2016-07-31,86.35,$3.73,23.17
2016-04-30,74.45,$3.18,23.43
2016-01-31,68.02,$3.01,22.61
2015-10-31,61.23,$2.75,22.27
2015-07-31,72.38,$3.29,22.0
2015-04-30,65.29,$3.48,18.76
2015-01-31,60.04,$3.12,19.22
2014-10-31,56.11,$3.81,14.73
2014-07-31,49.45,$3.41,14.51
2014-04-30,50.54,$3.52,14.35
2014-01-31,50.43,$2.97,16.96
2013-10-31,51.74,$1.95,26.54
2013-07-31,48.95,$2.01,24.35
2013-04-30,46.64,$1.53,30.42
2013-01-31,41.39,$1.68,24.65
2012-10-31,43.53,$1.57,27.75
2012-07-31,45.67,$1.24,36.82
2012-04-30,42.5,$1.31,32.41
2012-01-31,38.15,$1.56,24.54
2011-10-31,35.51,$1.46,24.4
2011-07-31,28.17,$1.36,20.7
2011-04-30,29.18,$1.56,18.74
2011-01-31,24.9,$1.18,21.16
2010-10-31,25.24,$1.73,14.59
