OptimizeRx Price to Free Cash Flow Ratio Historical Data,OptimizeRx Price to Free Cash Flow Ratio Historical Data,OptimizeRx Price to Free Cash Flow Ratio Historical Data,OptimizeRx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.79,,0.0
2024-09-30,7.72,$-0.08,0.0
2024-06-30,10.0,$-0.10,0.0
2024-03-31,12.15,$-0.35,0.0
2023-12-31,14.31,$-0.47,0.0
2023-09-30,7.78,$-0.01,0.0
2023-06-30,14.29,$0.12,116.08
2023-03-31,14.63,$0.34,43.05
2022-12-31,16.8,$0.59,28.7
2022-09-30,14.82,$0.34,43.85
2022-06-30,27.39,$0.15,177.17
2022-03-31,37.71,$0.14,269.36
2021-12-31,62.11,$0.01,4196.62
2021-09-30,85.55,$-0.07,0.0
2021-06-30,61.9,$-0.09,0.0
2021-03-31,48.75,$-0.07,0.0
2020-12-31,31.16,$-0.43,0.0
2020-09-30,20.85,$-0.37,0.0
2020-06-30,13.03,$-0.43,0.0
2020-03-31,9.06,$-0.45,0.0
2019-12-31,10.27,$-0.13,0.0
2019-09-30,14.48,$0.06,238.16
2019-06-30,16.2,$0.22,72.94
2019-03-31,12.72,$0.13,97.17
