Analog Devices Price to Free Cash Flow Ratio Historical Data,Analog Devices Price to Free Cash Flow Ratio Historical Data,Analog Devices Price to Free Cash Flow Ratio Historical Data,Analog Devices Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,205.9,,32.25
2025-01-31,211.89,$6.39,33.19
2024-10-31,222.18,$6.26,35.49
2024-07-31,229.45,$5.86,39.14
2024-04-30,198.14,$6.12,32.36
2024-01-31,189.1,$6.46,29.28
2023-10-31,153.94,$7.03,21.9
2023-07-31,194.32,$7.24,26.85
2023-04-30,174.35,$7.69,22.67
2023-01-31,165.42,$8.22,20.13
2022-10-31,136.97,$7.22,18.98
2022-07-31,164.34,$7.34,22.4
2022-04-30,146.87,$6.68,21.97
2022-01-31,155.26,$6.40,24.26
2021-10-31,163.65,$5.96,27.46
2021-07-31,157.27,$5.98,26.3
2021-04-30,143.27,$5.95,24.07
2021-01-31,137.2,$5.13,26.75
2020-10-31,109.89,$4.95,22.18
2020-07-31,105.93,$4.86,21.82
2020-04-30,100.53,$4.74,21.19
2020-01-31,100.09,$5.34,18.74
2019-10-31,96.78,$5.30,18.25
2019-07-31,106.09,$5.36,19.79
2019-04-30,104.41,$5.54,18.85
2019-01-31,88.35,$5.72,15.45
2018-10-31,74.42,$5.83,12.76
2018-07-31,85.06,$5.88,14.46
2018-04-30,76.92,$3.08,25.0
2018-01-31,80.49,$2.64,30.47
2017-10-31,79.57,$2.71,29.35
2017-07-31,68.48,$2.43,28.22
2017-04-30,65.67,$4.43,14.83
2017-01-31,64.24,$4.04,15.89
2016-10-31,54.64,$3.73,14.66
2016-07-31,54.04,$2.77,19.53
2016-04-30,47.34,$2.57,18.45
2016-01-31,44.91,$2.54,17.65
2015-10-31,49.8,$2.38,20.93
2015-07-31,47.97,$2.58,18.57
2015-04-30,50.56,$2.61,19.34
2015-01-31,42.31,$2.30,18.42
2014-10-31,40.03,$2.18,18.35
2014-07-31,39.75,$2.24,17.74
2014-04-30,40.79,$2.30,17.73
2014-01-31,38.11,$2.41,15.83
2013-10-31,38.65,$2.51,15.38
2013-07-31,38.43,$2.41,15.97
2013-04-30,33.98,$2.14,15.91
2013-01-31,33.46,$2.06,16.26
2012-10-31,29.78,$2.23,13.36
2012-07-31,29.52,$2.25,13.13
2012-04-30,29.2,$2.64,11.06
2012-01-31,29.09,$2.52,11.53
2011-10-31,26.99,$2.52,10.7
2011-07-31,25.2,$2.63,9.57
2011-04-30,29.34,$2.52,11.63
2011-01-31,28.11,$2.85,9.86
2010-10-31,24.23,$2.88,8.42
2010-07-31,21.22,$2.60,8.16
2010-04-30,21.21,$2.43,8.72
2010-01-31,18.98,$1.80,10.54
2009-10-31,17.92,$1.28,13.95
