VOC Energy Trust Price to Free Cash Flow Ratio Historical Data,VOC Energy Trust Price to Free Cash Flow Ratio Historical Data,VOC Energy Trust Price to Free Cash Flow Ratio Historical Data,VOC Energy Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.33,,inf
2024-09-30,4.76,0.0,0.0
2024-06-30,4.48,0.0,0.0
2024-03-31,5.48,0.0,0.0
2023-12-31,6.35,0.0,0.0
2023-09-30,8.44,0.0,0.0
2023-06-30,6.64,0.0,0.0
2023-03-31,6.75,0.0,0.0
2022-12-31,8.28,0.0,0.0
2022-09-30,5.18,0.0,0.0
2022-06-30,4.73,0.0,0.0
2022-03-31,4.8,0.0,0.0
2021-12-31,3.15,0.0,0.0
2021-09-30,2.96,0.0,0.0
2021-06-30,2.94,0.0,0.0
2021-03-31,2.11,0.0,0.0
2020-12-31,1.32,0.0,0.0
2020-09-30,0.9,0.0,0.0
2020-06-30,1.37,0.0,0.0
2020-03-31,0.88,0.0,0.0
2019-12-31,2.52,0.0,0.0
2019-09-30,2.78,0.0,0.0
2019-06-30,2.57,0.0,0.0
2019-03-31,2.82,0.0,0.0
2018-12-31,1.79,0.0,0.0
2018-09-30,2.58,0.0,0.0
2018-06-30,2.42,0.0,0.0
2018-03-31,1.79,0.0,0.0
2017-12-31,2.56,0.0,0.0
2017-09-30,1.57,0.0,0.0
2017-06-30,1.75,0.0,0.0
2017-03-31,1.38,0.0,0.0
2016-12-31,1.23,0.0,0.0
2016-09-30,1.12,0.0,0.0
2016-06-30,1.2,0.0,0.0
2016-03-31,0.98,0.0,0.0
2015-12-31,0.87,0.0,0.0
2015-09-30,1.27,0.0,0.0
2015-06-30,1.91,0.0,0.0
2015-03-31,1.65,0.0,0.0
2014-12-31,1.71,0.0,0.0
2014-09-30,3.89,0.0,0.0
2014-06-30,5.15,0.0,0.0
2014-03-31,4.24,0.0,0.0
2013-12-31,4.09,0.0,0.0
2013-09-30,4.26,0.0,0.0
2013-06-30,3.72,0.0,0.0
2013-03-31,3.11,0.0,0.0
2012-12-31,3.21,0.0,0.0
2012-09-30,4.53,0.0,0.0
2012-06-30,4.28,0.0,0.0
2012-03-31,5.04,0.0,0.0
