Steakholder Foods Price to Free Cash Flow Ratio Historical Data,Steakholder Foods Price to Free Cash Flow Ratio Historical Data,Steakholder Foods Price to Free Cash Flow Ratio Historical Data,Steakholder Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.32,,0.0
2022-12-31,1.02,$-13.04,0.0
2022-09-30,1.95,$-13.60,0.0
2022-06-30,3.31,$-16.54,0.0
2022-03-31,5.08,$-14.93,0.0
2021-12-31,5.34,$-13.62,0.0
