Editas Medicine Price to Free Cash Flow Ratio Historical Data,Editas Medicine Price to Free Cash Flow Ratio Historical Data,Editas Medicine Price to Free Cash Flow Ratio Historical Data,Editas Medicine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.37,,0.0
2024-12-31,1.27,$-2.66,0.0
2024-09-30,3.41,$-2.45,0.0
2024-06-30,4.67,$-2.08,0.0
2024-03-31,7.42,$-1.89,0.0
2023-12-31,10.13,$-1.80,0.0
2023-09-30,7.8,$-2.02,0.0
2023-06-30,8.23,$-2.42,0.0
2023-03-31,7.25,$-2.44,0.0
2022-12-31,8.87,$-2.64,0.0
2022-09-30,12.24,$-2.59,0.0
2022-06-30,11.83,$-2.51,0.0
2022-03-31,19.02,$-2.54,0.0
2021-12-31,26.55,$-2.54,0.0
2021-09-30,41.08,$-2.84,0.0
2021-06-30,56.64,$-2.93,0.0
2021-03-31,42.0,$-2.91,0.0
2020-12-31,70.11,$-3.19,0.0
2020-09-30,28.06,$-1.53,0.0
2020-06-30,29.58,$-1.38,0.0
2020-03-31,19.83,$-1.36,0.0
2019-12-31,29.61,$-0.94,0.0
2019-09-30,22.74,$-1.74,0.0
2019-06-30,24.74,$-1.35,0.0
2019-03-31,24.45,$-1.17,0.0
2018-12-31,22.75,$-1.07,0.0
2018-09-30,31.82,$-1.68,0.0
2018-06-30,35.83,$-2.21,0.0
2018-03-31,33.15,$-2.69,0.0
2017-12-31,30.73,$-0.28,0.0
2017-09-30,24.01,$-0.22,0.0
2017-06-30,16.78,$-0.01,0.0
2017-03-31,22.32,$0.70,31.79
2016-12-31,16.23,$-1.67,0.0
