Southside Bancshares Price to Free Cash Flow Ratio Historical Data,Southside Bancshares Price to Free Cash Flow Ratio Historical Data,Southside Bancshares Price to Free Cash Flow Ratio Historical Data,Southside Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.17,,9.77
2024-12-31,31.76,$2.99,10.63
2024-09-30,33.09,$-0.05,0.0
2024-06-30,27.03,$2.94,9.2
2024-03-31,28.24,$3.54,7.97
2023-12-31,29.89,$2.39,12.53
2023-09-30,27.04,$4.84,5.58
2023-06-30,24.37,$4.76,5.12
2023-03-31,30.54,$4.92,6.21
2022-12-31,32.82,$6.78,4.84
2022-09-30,31.9,$7.02,4.55
2022-06-30,33.49,$6.03,5.56
2022-03-31,36.22,$5.29,6.85
2021-12-31,36.81,$4.58,8.04
2021-09-30,33.41,$5.03,6.64
2021-06-30,33.06,$4.50,7.34
2021-03-31,33.04,$4.49,7.35
2020-12-31,26.37,$2.43,10.85
2020-09-30,20.52,$1.69,12.13
2020-06-30,23.03,$1.41,16.35
2020-03-31,24.97,$1.19,20.96
2019-12-31,30.25,$1.91,15.82
2019-09-30,27.52,$1.87,14.74
2019-06-30,25.88,$2.04,12.66
2019-03-31,26.32,$2.46,10.69
2018-12-31,24.94,$3.16,7.9
2018-09-30,27.06,$3.08,8.78
2018-06-30,25.98,$3.12,8.32
2018-03-31,26.56,$2.85,9.33
2017-12-31,25.54,$2.73,9.35
2017-09-30,27.34,$3.05,8.96
2017-06-30,26.05,$3.27,7.96
2017-03-31,24.22,$3.11,7.78
2016-12-31,26.99,$2.95,9.16
2016-09-30,22.87,$2.71,8.43
2016-06-30,21.8,$2.74,7.96
2016-03-31,17.37,$2.68,6.48
2015-12-31,15.84,$2.53,6.26
2015-09-30,17.97,$1.81,9.91
2015-06-30,18.9,$1.72,10.97
2015-03-31,17.52,$1.90,9.22
2014-12-31,17.52,$2.35,7.46
2014-09-30,19.96,$3.02,6.6
2014-06-30,17.26,$3.15,5.48
2014-03-31,17.67,$2.88,6.13
2013-12-31,15.28,$2.53,6.03
2013-09-30,14.83,$2.51,5.91
2013-06-30,13.09,$2.44,5.37
2013-03-31,10.87,$2.72,4.0
2012-12-31,10.8,$3.08,3.51
2012-09-30,10.9,$3.44,3.17
2012-06-30,11.13,$3.31,3.37
2012-03-31,10.33,$3.46,2.99
2011-12-31,10.04,$3.24,3.1
2011-09-30,8.19,$2.76,2.97
2011-06-30,8.95,$2.39,3.75
2011-03-31,9.11,$2.10,4.33
2010-12-31,8.9,$2.11,4.22
2010-09-30,7.85,$1.82,4.33
2010-06-30,8.09,$1.51,5.37
2010-03-31,8.39,$1.21,6.93
2009-12-31,7.57,$0.84,9.05
