Unity Bancorp Price to Free Cash Flow Ratio Historical Data,Unity Bancorp Price to Free Cash Flow Ratio Historical Data,Unity Bancorp Price to Free Cash Flow Ratio Historical Data,Unity Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.61,,8.98
2024-12-31,43.61,$4.64,9.41
2024-09-30,33.97,$4.80,7.07
2024-06-30,29.37,$4.35,6.75
2024-03-31,27.28,$4.70,5.8
2023-12-31,29.1,$4.45,6.55
2023-09-30,22.94,$5.05,4.55
2023-06-30,22.98,$3.54,6.49
2023-03-31,22.11,$3.28,6.74
2022-12-31,26.37,$3.85,6.85
2022-09-30,24.13,$2.02,11.95
2022-06-30,25.34,$2.23,11.34
2022-03-31,26.67,$3.72,7.17
2021-12-31,24.93,$2.97,8.41
2021-09-30,22.14,$0.87,25.33
2021-06-30,20.78,$2.15,9.66
2021-03-31,20.65,$2.21,9.33
2020-12-31,16.42,$2.16,7.61
2020-09-30,10.78,$4.00,2.69
2020-06-30,13.23,$3.57,3.71
2020-03-31,10.76,$3.15,3.42
2019-12-31,20.65,$3.14,6.59
2019-09-30,20.2,$3.09,6.53
2019-06-30,20.62,$2.91,7.09
2019-03-31,17.08,$3.74,4.57
2018-12-31,18.72,$3.44,5.45
2018-09-30,20.58,$2.69,7.65
2018-06-30,20.39,$2.22,9.17
2018-03-31,19.65,$1.39,14.1
2017-12-31,17.6,$1.30,13.54
2017-09-30,17.59,$1.48,11.92
2017-06-30,15.23,$0.94,16.18
2017-03-31,14.95,$0.71,20.97
2016-12-31,13.81,$0.16,88.4
2016-09-30,11.24,$0.50,22.65
2016-06-30,10.09,$0.86,11.67
2016-03-31,9.0,$0.66,13.55
2015-12-31,9.83,$0.67,14.63
2015-09-30,7.67,$0.82,9.32
2015-06-30,7.66,$1.02,7.53
2015-03-31,7.08,$1.42,4.98
2014-12-31,7.33,$1.66,4.43
2014-09-30,7.46,$1.16,6.46
2014-06-30,7.17,$1.58,4.54
2014-03-31,6.13,$1.02,6.01
2013-12-31,5.89,$1.02,5.77
2013-09-30,5.73,$1.15,5.0
2013-06-30,5.44,$0.83,6.59
2013-03-31,4.98,$1.76,2.84
2012-12-31,4.78,$1.78,2.68
2012-09-30,4.69,$1.86,2.52
2012-06-30,4.59,$3.07,1.5
2012-03-31,4.78,$2.12,2.25
2011-12-31,4.9,$2.20,2.23
2011-09-30,5.09,$3.11,1.64
2011-06-30,5.2,$2.26,2.3
2011-03-31,5.32,$2.88,1.85
2010-12-31,4.63,$3.01,1.54
2010-09-30,4.02,$1.50,2.67
2010-06-30,4.1,$1.09,3.77
2010-03-31,4.05,$0.41,9.79
2009-12-31,3.08,$0.81,3.82
