Caesarstone Price to Free Cash Flow Ratio Historical Data,Caesarstone Price to Free Cash Flow Ratio Historical Data,Caesarstone Price to Free Cash Flow Ratio Historical Data,Caesarstone Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.74,,4.4
2024-12-31,4.25,$0.62,6.82
2024-09-30,4.56,$1.09,4.18
2024-06-30,5.0,$1.43,3.51
2024-03-31,4.09,$1.64,2.5
2023-12-31,3.74,$1.61,2.32
2023-09-30,4.28,$1.18,3.64
2023-06-30,5.24,$0.46,11.37
2023-03-31,4.13,$-0.22,0.0
2022-12-31,5.71,$-1.19,0.0
2022-09-30,9.31,$-1.25,0.0
2022-06-30,8.91,$-1.67,0.0
2022-03-31,10.27,$-1.07,0.0
2021-12-31,11.07,$-0.31,0.0
2021-09-30,12.02,$0.16,75.56
2021-06-30,14.29,$1.33,10.77
2021-03-31,13.11,$0.88,14.9
2020-12-31,12.31,$0.81,15.26
2020-09-30,9.25,$1.31,7.05
2020-06-30,11.19,$1.11,10.11
2020-03-31,9.98,$1.55,6.46
2019-12-31,14.23,$1.73,8.24
2019-09-30,15.53,$1.77,8.76
2019-06-30,14.05,$1.05,13.45
2019-03-31,14.6,$0.58,25.08
2018-12-31,12.7,$-0.18,0.0
2018-09-30,17.17,$-0.87,0.0
2018-06-30,13.87,$-0.35,0.0
2018-03-31,18.05,$0.01,0.0
2017-12-31,20.2,$1.12,18.11
2017-09-30,27.37,$1.81,15.14
2017-06-30,32.19,$2.28,14.1
2017-03-31,33.29,$2.51,13.28
2016-12-31,26.31,$2.26,11.64
2016-09-30,34.63,$1.84,18.78
2016-06-30,31.92,$1.55,20.58
2016-03-31,31.55,$0.87,36.08
2015-12-31,39.8,$0.26,153.97
2015-09-30,27.92,$-0.18,0.0
2015-06-30,62.94,$-0.60,0.0
2015-03-31,55.75,$-0.77,0.0
2014-12-31,54.94,$-0.27,0.0
2014-09-30,47.03,$0.02,2147.46
2014-06-30,44.66,$0.65,69.21
2014-03-31,49.49,$1.28,38.55
2013-12-31,45.2,$1.36,33.12
2013-09-30,41.06,$1.46,28.03
2013-06-30,24.48,$1.12,21.86
2013-03-31,23.73,$0.73,32.71
2012-12-31,14.37,$0.63,22.79
