Resources Connection Price to Free Cash Flow Ratio Historical Data,Resources Connection Price to Free Cash Flow Ratio Historical Data,Resources Connection Price to Free Cash Flow Ratio Historical Data,Resources Connection Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.85,,6.54
2024-11-30,8.44,$1.05,8.05
2024-08-31,10.26,$1.05,9.81
2024-05-31,11.11,$0.61,18.12
2024-02-29,13.25,$1.03,12.92
2023-11-30,12.9,$1.60,8.08
2023-08-31,14.57,$2.42,6.01
2023-05-31,14.22,$2.33,6.11
2023-02-28,16.65,$2.61,6.39
2022-11-30,17.66,$2.01,8.8
2022-08-31,17.75,$1.23,14.48
2022-05-31,16.66,$1.39,12.03
2022-02-28,14.85,$0.72,20.58
2021-11-30,15.24,$0.28,54.36
2021-08-31,13.91,$0.52,26.56
2021-05-31,12.72,$1.11,11.47
2021-02-28,11.02,$1.86,5.93
2020-11-30,10.35,$1.83,5.64
2020-08-31,10.38,$2.15,4.84
2020-05-31,9.18,$1.47,6.26
2020-02-29,10.32,$1.51,6.83
2019-11-30,12.6,$1.69,7.45
2019-08-31,13.37,$1.57,8.49
2019-05-31,12.3,$1.14,10.78
2019-02-28,13.8,$0.78,17.79
2018-11-30,13.28,$0.34,39.06
2018-08-31,12.95,$0.33,39.61
2018-05-31,12.92,$0.42,30.63
2018-02-28,11.97,$0.49,24.61
2017-11-30,12.26,$0.57,21.48
2017-08-31,9.66,$0.48,20.14
2017-05-31,9.42,$0.71,13.29
2017-02-28,12.58,$0.91,13.79
2016-11-30,11.91,$0.88,13.57
2016-08-31,11.08,$0.87,12.76
2016-05-31,11.36,$0.95,11.91
2016-02-29,10.05,$0.88,11.42
2015-11-30,13.13,$0.89,14.77
2015-08-31,11.22,$0.87,12.92
2015-05-31,11.15,$0.77,14.52
2015-02-28,12.54,$0.48,26.04
2014-11-30,10.68,$0.70,15.35
2014-08-31,10.72,$0.39,27.76
2014-05-31,8.64,$0.72,12.01
2014-02-28,9.49,$0.66,14.33
2013-11-30,9.8,$0.83,11.8
2013-08-31,8.39,$0.80,10.54
2013-05-31,7.47,$0.77,9.67
2013-02-28,8.28,$0.74,11.13
2012-11-30,7.84,$0.74,10.64
2012-08-31,7.51,$0.83,9.02
2012-05-31,8.02,$0.77,10.41
2012-02-29,8.7,$0.62,14.03
2011-11-30,7.1,$0.39,18.33
2011-08-31,6.9,$0.35,19.91
2011-05-31,9.26,$0.48,19.39
2011-02-28,12.63,$0.37,33.71
2010-11-30,10.93,$0.45,24.12
2010-08-31,7.23,$0.48,15.01
2010-05-31,10.49,$0.09,111.55
2010-02-28,11.07,$0.37,29.59
2009-11-30,12.52,$1.17,10.66
