Booz Allen Hamilton Holding Price to Free Cash Flow Ratio Historical Data,Booz Allen Hamilton Holding Price to Free Cash Flow Ratio Historical Data,Booz Allen Hamilton Holding Price to Free Cash Flow Ratio Historical Data,Booz Allen Hamilton Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,103.58,,15.75
2024-12-31,128.7,$6.58,19.57
2024-09-30,162.21,$7.11,22.82
2024-06-30,152.85,$2.24,68.12
2024-03-31,146.93,$1.47,100.03
2023-12-31,126.17,$2.10,60.2
2023-09-30,107.39,$1.37,78.64
2023-06-30,109.26,$3.79,28.82
2023-03-31,90.35,$3.97,22.77
2022-12-31,101.38,$4.04,25.11
2022-09-30,89.21,$3.18,28.08
2022-06-30,86.9,$4.57,19.03
2022-03-31,84.03,$4.87,17.26
2021-12-31,80.65,$2.41,33.46
2021-09-30,75.17,$3.95,19.04
2021-06-30,80.32,$3.57,22.52
2021-03-31,75.62,$4.58,16.53
2020-12-31,81.51,$6.41,12.71
2020-09-30,77.31,$5.34,14.48
2020-06-30,72.21,$3.69,19.54
2020-03-31,63.46,$3.00,21.17
2019-12-31,65.5,$3.20,20.45
2019-09-30,65.15,$2.66,24.53
2019-06-30,60.55,$3.32,18.21
2019-03-31,52.98,$2.83,18.73
2018-12-31,40.89,$2.82,14.51
2018-09-30,44.87,$3.19,14.08
2018-06-30,39.38,$2.22,17.74
2018-03-31,34.72,$2.50,13.9
2017-12-31,34.02,$1.76,19.3
2017-09-30,33.2,$1.79,18.57
2017-06-30,28.75,$2.10,13.7
2017-03-31,31.13,$2.19,14.25
2016-12-31,31.57,$1.99,15.83
2016-09-30,27.54,$2.17,12.7
2016-06-30,25.69,$1.22,21.12
2016-03-31,26.11,$1.22,21.41
2015-12-31,26.45,$1.33,19.96
2015-09-30,22.38,$0.94,23.72
2015-06-30,21.44,$1.27,16.93
2015-03-31,24.46,$1.82,13.43
2014-12-31,22.32,$1.61,13.83
2014-09-30,19.6,$2.48,7.92
2014-06-30,16.9,$2.21,7.66
2014-03-31,17.42,$2.10,8.31
2013-12-31,14.3,$2.25,6.35
2013-09-30,13.58,$1.27,10.68
2013-06-30,12.16,$2.97,4.09
2013-03-31,9.35,$2.98,3.14
2012-12-31,9.62,$3.30,2.91
2012-09-30,9.51,$3.67,2.59
2012-06-30,6.78,$2.24,3.02
2012-03-31,6.85,$2.01,3.41
2011-12-31,6.91,$1.27,5.43
2011-09-30,5.95,$2.57,2.31
