Aehr Test Systems Price to Free Cash Flow Ratio Historical Data,Aehr Test Systems Price to Free Cash Flow Ratio Historical Data,Aehr Test Systems Price to Free Cash Flow Ratio Historical Data,Aehr Test Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.96,,0.0
2024-11-30,11.89,$-0.20,0.0
2024-08-31,15.21,$-0.01,0.0
2024-05-31,11.51,$0.03,338.53
2024-02-29,16.27,$0.51,32.14
2023-11-30,22.96,$0.22,106.15
2023-08-31,51.01,$0.23,220.54
2023-05-31,33.02,$0.30,111.55
2023-02-28,33.35,$0.38,88.86
2022-11-30,26.07,$0.04,689.68
2022-08-31,14.54,$0.15,94.11
2022-05-31,8.38,$0.04,213.23
2022-02-28,13.6,$0.06,219.35
2021-11-30,17.42,$0.16,109.49
2021-08-31,7.46,$-0.08,0.0
2021-05-31,2.25,$-0.12,0.0
2021-02-28,2.8,$-0.18,0.0
2020-11-30,1.65,$-0.18,0.0
2020-08-31,1.78,$-0.06,0.0
2020-05-31,1.65,$-0.10,0.0
2020-02-29,2.1,$-0.07,0.0
2019-11-30,1.89,$-0.14,0.0
2019-08-31,1.34,$-0.22,0.0
2019-05-31,1.75,$-0.26,0.0
2019-02-28,1.46,$-0.15,0.0
2018-11-30,1.88,$-0.11,0.0
2018-08-31,2.53,$0.04,56.6
2018-05-31,2.6,$-0.08,0.0
2018-02-28,2.29,$-0.18,0.0
2017-11-30,2.55,$-0.32,0.0
2017-08-31,3.36,$-0.57,0.0
2017-05-31,4.58,$-0.31,0.0
2017-02-28,5.24,$-0.41,0.0
2016-11-30,2.99,$-0.34,0.0
2016-08-31,2.42,$-0.30,0.0
2016-05-31,1.01,$-0.55,0.0
2016-02-29,1.19,$-0.48,0.0
2015-11-30,1.98,$-0.42,0.0
2015-08-31,2.31,$-0.33,0.0
2015-05-31,2.4,$-0.20,0.0
2015-02-28,2.64,$-0.19,0.0
2014-11-30,2.67,$-0.19,0.0
2014-08-31,2.54,$-0.11,0.0
2014-05-31,2.26,$-0.08,0.0
2014-02-28,2.35,$-0.02,0.0
2013-11-30,2.83,$0.12,23.39
2013-08-31,1.56,$0.00,0.0
2013-05-31,1.44,$-0.05,0.0
2013-02-28,0.9,$-0.24,0.0
2012-11-30,0.9,$-0.41,0.0
2012-08-31,1.1,$-0.40,0.0
2012-05-31,1.27,$-0.55,0.0
2012-02-29,0.8,$-0.33,0.0
2011-11-30,0.69,$-0.39,0.0
2011-08-31,1.12,$-0.36,0.0
2011-05-31,1.48,$-0.47,0.0
2011-02-28,1.79,$-0.59,0.0
2010-11-30,0.93,$-0.02,0.0
2010-08-31,1.2,$0.28,4.34
2010-05-31,2.34,$0.37,6.31
2010-02-28,2.55,$0.07,36.57
2009-11-30,1.5,$-1.41,0.0
