Medical Properties Trust Price to Free Cash Flow Ratio Historical Data,Medical Properties Trust Price to Free Cash Flow Ratio Historical Data,Medical Properties Trust Price to Free Cash Flow Ratio Historical Data,Medical Properties Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.94,,1.77
2024-12-31,3.95,$3.36,1.17
2024-09-30,5.74,$3.80,1.51
2024-06-30,4.16,$3.66,1.14
2024-03-31,4.26,$2.03,2.09
2023-12-31,4.45,$2.15,2.07
2023-09-30,4.78,$1.76,2.73
2023-06-30,7.94,$2.37,3.35
2023-03-31,6.83,$1.81,3.78
2022-12-31,8.94,$4.70,1.9
2022-09-30,9.29,$5.06,1.84
2022-06-30,11.72,$4.51,2.6
2022-03-31,15.92,$4.45,3.58
2021-12-31,17.54,$1.68,10.45
2021-09-30,14.71,$1.24,11.9
2021-06-30,14.53,$1.14,12.7
2021-03-31,15.18,$1.32,11.51
2020-12-31,15.35,$1.21,12.65
2020-09-30,12.26,$1.60,7.68
2020-06-30,12.88,$1.41,9.17
2020-03-31,11.69,$1.21,9.62
2019-12-31,14.07,$1.22,11.55
2019-09-30,12.88,$0.98,13.12
2019-06-30,11.33,$4.64,2.44
2019-03-31,11.85,$4.80,2.47
2018-12-31,10.16,$5.21,1.95
2018-09-30,9.28,$5.23,1.77
2018-06-30,8.59,$1.57,5.49
2018-03-31,7.81,$1.33,5.86
2017-12-31,8.13,$1.01,8.07
2017-09-30,7.61,$0.83,9.17
2017-06-30,7.32,$1.11,6.57
2017-03-31,7.2,$1.37,5.24
2016-12-31,6.74,$1.12,6.04
2016-09-30,7.94,$1.13,7.05
2016-06-30,8.04,$0.88,9.11
2016-03-31,6.76,$0.45,15.14
2015-12-31,5.89,$0.37,16.11
2015-09-30,5.55,$0.45,12.3
2015-06-30,6.45,$0.52,12.39
2015-03-31,7.13,$0.52,13.66
2014-12-31,6.56,$0.49,13.52
2014-09-30,5.75,$0.69,8.28
2014-06-30,6.11,$0.56,10.91
2014-03-31,5.81,$0.71,8.19
2013-12-31,5.46,$0.86,6.33
2013-09-30,5.35,$0.82,6.54
2013-06-30,6.2,$0.98,6.35
2013-03-31,6.85,$0.95,7.18
2012-12-31,5.04,$1.00,5.05
2012-09-30,4.33,$0.93,4.67
2012-06-30,3.91,$2.52,1.55
2012-03-31,3.69,$2.46,1.5
2011-12-31,3.84,$0.88,4.36
2011-09-30,3.41,$1.70,2.01
2011-06-30,4.3,$0.03,123.13
2011-03-31,4.25,$-0.05,0.0
2010-12-31,3.91,$1.51,2.59
2010-09-30,3.59,$0.71,5.05
2010-06-30,3.28,$0.77,4.25
2010-03-31,3.56,$0.89,4.01
2009-12-31,3.34,$0.99,3.37
