KKR Real Estate Finance Trust Price to Free Cash Flow Ratio Historical Data,KKR Real Estate Finance Trust Price to Free Cash Flow Ratio Historical Data,KKR Real Estate Finance Trust Price to Free Cash Flow Ratio Historical Data,KKR Real Estate Finance Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.3,,6.32
2024-12-31,10.1,$1.79,5.65
2024-09-30,12.35,$2.05,6.03
2024-06-30,8.87,$1.95,4.54
2024-03-31,9.6,$2.10,4.57
2023-12-31,12.31,$2.22,5.54
2023-09-30,10.7,$2.28,4.69
2023-06-30,10.59,$2.17,4.87
2023-03-31,9.57,$2.18,4.4
2022-12-31,11.29,$2.06,5.47
2022-09-30,12.75,$1.95,6.54
2022-06-30,13.33,$2.15,6.21
2022-03-31,15.37,$2.13,7.21
2021-12-31,15.21,$2.20,6.92
2021-09-30,15.1,$2.14,7.06
2021-06-30,15.17,$2.14,7.1
2021-03-31,12.65,$2.12,5.97
2020-12-31,12.05,$2.05,5.87
2020-09-30,10.85,$2.05,5.29
2020-06-30,10.61,$1.85,5.73
2020-03-31,9.36,$1.63,5.76
2019-12-31,12.37,$1.59,7.76
2019-09-30,11.59,$1.55,7.47
2019-06-30,11.56,$1.45,7.98
2019-03-31,11.38,$1.50,7.59
2018-12-31,10.65,$1.39,7.65
2018-09-30,10.97,$3.03,3.62
2018-06-30,10.53,$1.34,7.84
2018-03-31,10.46,$1.53,6.85
