Gen Digital Price to Free Cash Flow Ratio Historical Data,Gen Digital Price to Free Cash Flow Ratio Historical Data,Gen Digital Price to Free Cash Flow Ratio Historical Data,Gen Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.56,,8.2
2024-12-31,27.38,$3.36,8.15
2024-09-30,27.31,$3.34,8.17
2024-06-30,24.75,$3.30,7.51
2024-03-31,22.09,$3.22,6.85
2023-12-31,22.37,$1.59,14.06
2023-09-30,17.23,$1.55,11.13
2023-06-30,17.96,$1.20,15.02
2023-03-31,16.49,$1.20,13.7
2022-12-31,20.47,$1.21,16.98
2022-09-30,19.14,$1.31,14.61
2022-06-30,20.75,$2.16,9.63
2022-03-31,24.94,$2.24,11.14
2021-12-31,24.32,$2.44,9.95
2021-09-30,23.57,$2.38,9.91
2021-06-30,25.23,$1.69,14.93
2021-03-31,19.62,$1.53,12.82
2020-12-31,19.06,$-1.97,0.0
2020-09-30,18.99,$-1.86,0.0
2020-06-30,17.97,$-1.63,0.0
2020-03-31,16.85,$-1.48,0.0
2019-12-31,13.44,$2.06,6.54
2019-09-30,12.38,$1.99,6.22
2019-06-30,11.37,$2.05,5.55
2019-03-31,11.96,$2.08,5.75
2018-12-31,9.8,$1.63,6.01
2018-09-30,11.0,$1.45,7.6
2018-06-30,10.63,$1.40,7.61
2018-03-31,13.27,$1.21,10.97
2017-12-31,14.36,$1.42,10.13
2017-09-30,16.75,$1.28,13.11
2017-06-30,14.38,$1.10,13.09
2017-03-31,15.58,$-0.45,0.0
2016-12-31,12.1,$-0.66,0.0
2016-09-30,12.67,$-0.87,0.0
2016-06-30,10.34,$-0.81,0.0
2016-03-31,9.21,$0.82,11.29
2015-12-31,8.42,$1.10,7.65
2015-09-30,7.74,$1.54,5.02
2015-06-30,9.18,$1.51,6.07
2015-03-31,9.17,$1.46,6.3
2014-12-31,10.01,$1.46,6.84
2014-09-30,9.12,$1.39,6.55
2014-06-30,8.82,$1.49,5.94
2014-03-31,7.64,$1.55,4.92
2013-12-31,8.96,$1.64,5.45
2013-09-30,9.34,$1.82,5.14
2013-06-30,8.44,$1.76,4.79
2013-03-31,9.2,$1.77,5.2
2012-12-31,7.02,$1.84,3.82
2012-09-30,6.7,$1.74,3.85
2012-06-30,5.45,$1.93,2.82
2012-03-31,6.97,$2.16,3.23
2011-12-31,5.83,$2.13,2.74
2011-09-30,6.08,$2.22,2.74
2011-06-30,7.35,$2.22,3.31
2011-03-31,6.91,$1.98,3.49
2010-12-31,6.24,$1.96,3.19
2010-09-30,5.64,$1.89,2.98
2010-06-30,5.17,$1.79,2.9
2010-03-31,6.31,$1.82,3.47
2009-12-31,6.67,$2.81,2.37
