3D Systems Price to Free Cash Flow Ratio Historical Data,3D Systems Price to Free Cash Flow Ratio Historical Data,3D Systems Price to Free Cash Flow Ratio Historical Data,3D Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.56,,0.0
2024-09-30,2.84,$-0.48,0.0
2024-06-30,3.07,$-0.70,0.0
2024-03-31,4.44,$-0.76,0.0
2023-12-31,6.35,$-0.83,0.0
2023-09-30,4.91,$-0.88,0.0
2023-06-30,9.93,$-0.79,0.0
2023-03-31,10.72,$-0.84,0.0
2022-12-31,7.4,$-0.71,0.0
2022-09-30,7.98,$2.64,3.02
2022-06-30,9.7,$2.46,3.94
2022-03-31,16.68,$3.22,5.18
2021-12-31,21.54,$3.57,6.04
2021-09-30,27.57,$0.47,58.46
2021-06-30,39.97,$0.69,57.93
2021-03-31,27.44,$-0.02,0.0
2020-12-31,10.48,$-0.27,0.0
2020-09-30,4.91,$-0.23,0.0
2020-06-30,6.99,$-0.06,0.0
2020-03-31,7.71,$0.24,32.18
2019-12-31,8.75,$0.08,108.02
2019-09-30,8.15,$-0.10,0.0
2019-06-30,9.1,$-0.33,0.0
2019-03-31,10.76,$-0.42,0.0
2018-12-31,10.17,$-0.32,0.0
2018-09-30,18.9,$-0.29,0.0
2018-06-30,13.81,$-0.19,0.0
2018-03-31,11.59,$-0.27,0.0
2017-12-31,8.64,$-0.04,0.0
2017-09-30,13.39,$0.11,125.37
2017-06-30,18.7,$0.23,81.84
2017-03-31,14.96,$0.37,40.28
2016-12-31,13.29,$0.37,35.81
2016-09-30,17.95,$0.27,67.23
2016-06-30,13.69,$0.15,90.54
2016-03-31,15.47,$-0.06,0.0
2015-12-31,8.69,$-0.23,0.0
2015-09-30,11.55,$-0.09,0.0
2015-06-30,19.52,$-0.00,0.0
2015-03-31,27.42,$0.25,108.51
2014-12-31,32.87,$0.26,125.08
2014-09-30,46.37,$0.06,727.94
2014-06-30,59.8,$0.29,209.31
2014-03-31,59.15,$0.13,463.56
2013-12-31,92.93,$0.20,455.09
2013-09-30,53.99,$0.34,160.83
2013-06-30,43.9,$0.36,123.38
2013-03-31,32.24,$0.44,72.92
2012-12-31,35.57,$0.59,60.17
2012-09-30,21.9,$0.61,35.87
2012-06-30,22.76,$0.51,44.53
2012-03-31,15.69,$0.52,29.9
2011-12-31,9.6,$0.33,29.26
2011-09-30,9.33,$0.40,23.33
2011-06-30,13.14,$0.40,32.66
2011-03-31,16.18,$0.37,44.13
2010-12-31,10.5,$0.43,24.17
2010-09-30,5.24,$0.32,16.13
2010-06-30,4.18,$0.18,23.84
2010-03-31,4.55,$0.14,31.44
2009-12-31,3.77,$0.10,37.52
