Smart Sand Price to Free Cash Flow Ratio Historical Data,Smart Sand Price to Free Cash Flow Ratio Historical Data,Smart Sand Price to Free Cash Flow Ratio Historical Data,Smart Sand Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.45,,8.75
2024-12-31,2.25,$0.28,8.04
2024-09-30,1.88,$0.05,37.46
2024-06-30,2.02,$0.10,20.55
2024-03-31,1.83,$0.04,48.2
2023-12-31,1.85,$0.21,8.91
2023-09-30,2.22,$0.52,4.29
2023-06-30,1.57,$0.55,2.85
2023-03-31,1.68,$0.17,9.65
2022-12-31,1.71,$-0.15,0.0
2022-09-30,1.49,$-0.43,0.0
2022-06-30,1.91,$-0.62,0.0
2022-03-31,3.3,$0.17,18.99
2021-12-31,1.7,$0.51,3.34
2021-09-30,2.34,$0.78,2.99
2021-06-30,3.18,$0.69,4.65
2021-03-31,2.42,$0.27,9.09
2020-12-31,1.64,$0.42,3.9
2020-09-30,1.25,$0.33,3.8
2020-06-30,1.0,$0.88,1.14
2020-03-31,0.99,$0.73,1.37
2019-12-31,2.41,$0.48,5.06
2019-09-30,2.71,$0.58,4.65
2019-06-30,2.33,$0.15,15.2
2019-03-31,4.26,$0.03,151.99
2018-12-31,2.12,$-1.12,0.0
2018-09-30,3.93,$-1.59,0.0
2018-06-30,5.08,$-1.89,0.0
2018-03-31,5.57,$-2.14,0.0
2017-12-31,8.28,$-0.88,0.0
2017-09-30,6.48,$0.52,12.58
