Nano-X Imaging Price to Free Cash Flow Ratio Historical Data,Nano-X Imaging Price to Free Cash Flow Ratio Historical Data,Nano-X Imaging Price to Free Cash Flow Ratio Historical Data,Nano-X Imaging Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.93,,0.0
2024-09-30,6.08,$-0.71,0.0
2024-06-30,7.34,$-0.77,0.0
2024-03-31,9.77,$-0.80,0.0
2023-12-31,6.37,$-0.85,0.0
2023-09-30,6.56,$-0.89,0.0
2023-06-30,15.49,$-0.86,0.0
2023-03-31,5.77,$-0.91,0.0
2022-12-31,7.38,$-0.97,0.0
2022-09-30,11.47,$-1.21,0.0
2022-06-30,11.3,$-1.28,0.0
2022-03-31,10.84,$-1.34,0.0
2021-12-31,14.54,$-1.27,0.0
2021-09-30,22.5,$-1.49,0.0
2021-06-30,32.05,$-1.50,0.0
