Coffee Holding Price to Free Cash Flow Ratio Historical Data,Coffee Holding Price to Free Cash Flow Ratio Historical Data,Coffee Holding Price to Free Cash Flow Ratio Historical Data,Coffee Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.34,,4.84
2024-10-31,3.03,$0.90,3.38
2024-07-31,2.36,$0.82,2.89
2024-04-30,1.63,$0.41,3.98
2024-01-31,1.05,$0.31,3.35
2023-10-31,0.7,$-0.04,0.0
2023-07-31,1.46,$-0.39,0.0
2023-04-30,1.59,$-0.61,0.0
2023-01-31,2.5,$-0.46,0.0
2022-10-31,2.29,$-1.14,0.0
2022-07-31,2.63,$-0.65,0.0
2022-04-30,3.02,$-0.60,0.0
2022-01-31,4.33,$-0.10,0.0
2021-10-31,4.37,$0.60,7.33
2021-07-31,5.84,$0.77,7.6
2021-04-30,4.54,$1.07,4.22
2021-01-31,4.67,$0.89,5.28
2020-10-31,3.75,$0.71,5.29
2020-07-31,2.76,$0.20,13.78
2020-04-30,2.79,$0.05,52.13
2020-01-31,3.99,$-0.35,0.0
2019-10-31,3.72,$-0.52,0.0
2019-07-31,3.98,$-0.15,0.0
2019-04-30,5.0,$1.25,3.99
2019-01-31,5.98,$1.54,3.89
2018-10-31,4.28,$1.46,2.93
2018-07-31,5.36,$1.16,4.64
2018-04-30,4.11,$-0.28,0.0
2018-01-31,4.21,$-0.13,0.0
2017-10-31,4.1,$0.14,30.17
2017-07-31,4.09,$0.75,5.44
2017-04-30,4.84,$0.12,39.23
2017-01-31,4.48,$-0.17,0.0
2016-10-31,5.1,$0.11,48.15
2016-07-31,5.65,$-0.40,0.0
2016-04-30,3.65,$0.55,6.58
2016-01-31,3.32,$0.66,5.02
2015-10-31,4.18,$-0.43,0.0
2015-07-31,4.95,$-0.09,0.0
2015-04-30,4.78,$-1.17,0.0
2015-01-31,4.97,$-0.85,0.0
2014-10-31,5.63,$-0.07,0.0
2014-07-31,6.15,$0.08,78.64
2014-04-30,7.05,$-0.20,0.0
2014-01-31,5.01,$-0.45,0.0
2013-10-31,5.25,$-0.63,0.0
2013-07-31,6.71,$0.04,172.06
2013-04-30,6.67,$0.89,7.51
2013-01-31,6.97,$0.66,10.53
2012-10-31,6.26,$1.12,5.58
2012-07-31,5.49,$-0.42,0.0
2012-04-30,9.15,$-0.68,0.0
2012-01-31,8.06,$-0.59,0.0
2011-10-31,10.02,$-0.78,0.0
2011-07-31,18.64,$-0.15,0.0
2011-04-30,5.05,$-0.11,0.0
2011-01-31,3.73,$0.11,32.81
2010-10-31,3.67,$-0.23,0.0
2010-07-31,4.55,$-0.35,0.0
2010-04-30,4.88,$0.35,14.02
2010-01-31,3.63,$-0.25,0.0
2009-10-31,3.73,$0.01,0.0
