Ardmore Shipping Price to Free Cash Flow Ratio Historical Data,Ardmore Shipping Price to Free Cash Flow Ratio Historical Data,Ardmore Shipping Price to Free Cash Flow Ratio Historical Data,Ardmore Shipping Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.44,,3.48
2024-12-31,12.15,$3.00,4.05
2024-09-30,17.81,$2.75,6.48
2024-06-30,21.73,$2.64,8.23
2024-03-31,15.84,$2.95,5.37
2023-12-31,13.42,$3.32,4.04
2023-09-30,12.24,$4.73,2.59
2023-06-30,11.45,$5.84,1.96
2023-03-31,13.4,$5.58,2.4
2022-12-31,12.67,$4.18,3.03
2022-09-30,8.03,$2.50,3.21
2022-06-30,6.13,$0.50,12.37
2022-03-31,3.96,$-0.28,0.0
2021-12-31,2.97,$0.13,23.0
2021-09-30,3.65,$0.11,34.17
2021-06-30,3.71,$0.13,28.52
2021-03-31,3.99,$0.67,6.0
2020-12-31,2.88,$0.76,3.79
2020-09-30,3.13,$1.02,3.06
2020-06-30,3.82,$1.14,3.35
2020-03-31,4.62,$1.13,4.07
2019-12-31,7.89,$1.35,5.86
2019-09-30,5.83,$1.17,4.99
2019-06-30,7.11,$1.03,6.92
2019-03-31,5.37,$0.63,8.56
2018-12-31,4.07,$-0.24,0.0
2018-09-30,5.67,$-0.08,0.0
2018-06-30,7.15,$0.09,80.7
2018-03-31,6.63,$0.20,32.87
2017-12-31,6.98,$0.54,12.94
2017-09-30,7.19,$-0.02,0.0
2017-06-30,7.11,$-4.73,0.0
2017-03-31,7.02,$-3.25,0.0
2016-12-31,6.45,$-2.63,0.0
2016-09-30,6.14,$-3.45,0.0
2016-06-30,5.82,$0.05,127.37
2016-03-31,7.14,$-3.25,0.0
2015-12-31,10.57,$-7.48,0.0
2015-09-30,9.8,$-7.38,0.0
2015-06-30,9.75,$-8.40,0.0
2015-03-31,8.05,$-8.12,0.0
2014-12-31,9.48,$-8.04,0.0
2014-09-30,8.55,$-9.89,0.0
2014-06-30,10.76,$-15.92,0.0
