PubMatic Price to Free Cash Flow Ratio Historical Data,PubMatic Price to Free Cash Flow Ratio Historical Data,PubMatic Price to Free Cash Flow Ratio Historical Data,PubMatic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.73,,15.14
2024-12-31,14.69,$0.64,22.86
2024-09-30,14.87,$0.88,16.92
2024-06-30,20.31,$1.05,19.34
2024-03-31,23.72,$1.17,20.33
2023-12-31,16.31,$0.94,17.3
2023-09-30,12.1,$0.72,16.84
2023-06-30,18.28,$0.62,29.46
2023-03-31,13.82,$0.51,26.99
2022-12-31,12.81,$0.67,19.03
2022-09-30,16.63,$0.88,18.92
2022-06-30,15.89,$0.93,17.08
2022-03-31,26.12,$0.97,26.99
2021-12-31,34.05,$0.87,39.1
2021-09-30,26.35,$0.29,89.35
