Global Water Resources Price to Free Cash Flow Ratio Historical Data,Global Water Resources Price to Free Cash Flow Ratio Historical Data,Global Water Resources Price to Free Cash Flow Ratio Historical Data,Global Water Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.09,,0.0
2024-12-31,11.5,$-0.43,0.0
2024-09-30,12.52,$-0.18,0.0
2024-06-30,11.96,$0.23,52.68
2024-03-31,12.61,$0.23,56.06
2023-12-31,12.77,$0.13,100.01
2023-09-30,9.46,$-0.05,0.0
2023-06-30,12.22,$-0.38,0.0
2023-03-31,11.93,$-0.42,0.0
2022-12-31,12.68,$-0.46,0.0
2022-09-30,11.13,$-0.29,0.0
2022-06-30,12.47,$-0.07,0.0
2022-03-31,15.62,$-0.01,0.0
2021-12-31,15.98,$0.09,171.28
2021-09-30,17.42,$0.20,85.02
2021-06-30,15.83,$0.30,53.52
2021-03-31,15.05,$0.32,46.39
2020-12-31,13.24,$0.24,55.0
2020-09-30,9.85,$0.05,212.78
2020-06-30,9.57,$-0.04,0.0
2020-03-31,9.19,$-0.09,0.0
2019-12-31,11.79,$0.02,669.84
2019-09-30,10.55,$0.15,68.35
2019-06-30,9.27,$0.21,43.43
2019-03-31,8.65,$0.26,32.8
2018-12-31,8.87,$0.32,27.9
2018-09-30,9.2,$0.25,37.01
2018-06-30,8.11,$0.11,72.45
2018-03-31,7.68,$-0.12,0.0
2017-12-31,7.93,$-0.50,0.0
2017-09-30,7.94,$-0.65,0.0
2017-06-30,8.28,$-0.55,0.0
2017-03-31,7.23,$-0.57,0.0
