Universal Stainless & Alloy Products Price to Free Cash Flow Ratio Historical Data,Universal Stainless & Alloy Products Price to Free Cash Flow Ratio Historical Data,Universal Stainless & Alloy Products Price to Free Cash Flow Ratio Historical Data,Universal Stainless & Alloy Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,44.08,,18.63
2024-09-30,38.63,$2.37,16.33
2024-03-31,22.42,$1.92,11.65
2023-12-31,20.08,$1.32,15.27
2023-09-30,13.11,$0.45,29.1
2023-06-30,14.01,$-0.27,0.0
2023-03-31,9.35,$-1.73,0.0
2022-12-31,7.17,$-2.34,0.0
2022-09-30,7.12,$-3.94,0.0
2022-06-30,7.4,$-4.57,0.0
2022-03-31,8.68,$-5.65,0.0
2021-12-31,7.94,$-3.73,0.0
2021-09-30,10.17,$-0.39,0.0
2021-06-30,10.12,$1.03,9.83
2020-12-31,7.48,$1.66,4.5
2020-09-30,5.49,$-1.87,0.0
2020-06-30,8.6,$-3.32,0.0
2020-03-31,7.71,$-3.48,0.0
2019-12-31,14.9,$-2.33,0.0
2021-03-31,10.17,$-2.64,0.0
2019-09-30,15.6,$-0.94,0.0
2019-06-30,16.0,$-1.89,0.0
2019-03-31,16.57,$-0.51,0.0
2018-12-31,16.21,$0.15,110.12
2018-09-30,25.51,$-1.83,0.0
2018-06-30,23.67,$-1.09,0.0
2018-03-31,27.5,$-2.71,0.0
2017-12-31,21.42,$-0.92,0.0
2017-09-30,20.85,$-0.72,0.0
2017-06-30,19.5,$-0.77,0.0
2017-03-31,17.0,$0.26,64.52
2016-12-31,13.51,$0.78,17.35
2016-09-30,10.5,$1.74,6.04
2016-06-30,10.9,$3.12,3.49
2016-03-31,10.19,$2.39,4.26
2015-12-31,9.29,$1.36,6.83
2015-09-30,10.58,$1.07,9.91
2015-06-30,19.65,$-0.17,0.0
2015-03-31,26.22,$-2.94,0.0
2014-12-31,25.15,$-1.43,0.0
2014-09-30,26.36,$-0.72,0.0
2014-06-30,32.48,$-0.71,0.0
2013-12-31,36.06,$2.46,14.64
2013-09-30,32.19,$-0.21,0.0
2013-06-30,29.48,$-1.27,0.0
2013-03-31,36.35,$-1.33,0.0
2012-12-31,36.77,$-3.18,0.0
2014-03-31,33.77,$-2.49,0.0
2012-09-30,37.15,$-2.51,0.0
2012-06-30,41.1,$-2.80,0.0
2012-03-31,42.72,$-1.43,0.0
2011-12-31,37.36,$-0.83,0.0
2011-09-30,25.42,$-1.28,0.0
2011-06-30,46.76,$-0.62,0.0
2011-03-31,33.73,$-3.73,0.0
2010-12-31,31.28,$-3.12,0.0
2010-09-30,24.56,$-1.66,0.0
2010-06-30,15.99,$-0.86,0.0
2009-12-31,18.86,$2.28,8.29
2009-09-30,18.25,$1.60,11.38
2009-06-30,16.27,$1.16,14.07
