BJ's Restaurants Price to Free Cash Flow Ratio Historical Data,BJ's Restaurants Price to Free Cash Flow Ratio Historical Data,BJ's Restaurants Price to Free Cash Flow Ratio Historical Data,BJ's Restaurants Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.91,,32.79
2024-12-31,35.14,$1.03,33.98
2024-09-30,32.56,$1.03,31.74
2024-06-30,34.7,$0.81,42.8
2024-03-31,36.18,$0.10,355.05
2023-12-31,36.01,$0.29,124.39
2023-09-30,23.46,$-0.53,0.0
2023-06-30,31.8,$-1.34,0.0
2023-03-31,29.14,$-0.21,0.0
2022-12-31,26.38,$-0.88,0.0
2022-09-30,23.85,$-0.66,0.0
2022-06-30,21.68,$-0.68,0.0
2022-03-31,28.3,$0.17,163.3
2021-12-31,34.55,$0.95,36.23
2021-09-30,41.76,$0.77,54.05
2021-06-30,49.14,$2.34,21.03
2021-03-31,58.08,$1.34,43.46
2020-12-31,38.49,$0.23,168.82
2020-09-30,29.44,$1.61,18.32
2020-06-30,20.94,$0.13,163.08
2020-03-31,13.89,$0.85,16.4
2019-12-31,37.77,$1.84,20.53
2019-09-30,38.52,$1.52,25.38
2019-06-30,43.44,$2.79,15.56
2019-03-31,46.63,$3.24,14.4
2018-12-31,49.75,$3.59,13.86
2018-09-30,70.9,$4.40,16.13
2018-06-30,58.82,$4.22,13.95
2018-03-31,43.93,$3.26,13.47
2017-12-31,35.52,$2.49,14.27
2017-09-30,29.61,$1.00,29.62
2017-06-30,36.22,$0.82,44.14
2017-03-31,39.29,$0.30,132.63
2016-12-31,38.22,$1.38,27.64
2016-09-30,34.57,$1.30,26.56
2016-06-30,42.62,$1.89,22.52
2016-03-31,40.42,$2.01,20.1
2015-12-31,42.27,$1.70,24.84
2015-09-30,41.84,$1.72,24.32
2015-06-30,47.11,$1.33,35.33
2015-03-31,49.06,$1.11,44.13
2014-12-31,48.82,$0.89,55.17
2014-09-30,35.0,$0.39,90.78
2014-06-30,33.95,$-0.32,0.0
2014-03-31,31.81,$-0.38,0.0
2013-12-31,30.2,$-0.47,0.0
2013-09-30,27.88,$-0.52,0.0
2013-06-30,36.08,$-0.20,0.0
2013-03-31,32.36,$-0.48,0.0
2012-12-31,31.99,$-0.59,0.0
2012-09-30,44.1,$-0.29,0.0
2012-06-30,36.95,$-0.75,0.0
2012-03-31,48.96,$0.03,1813.35
2011-12-31,44.07,$-0.35,0.0
2011-09-30,42.89,$0.04,1125.79
2011-06-30,50.92,$0.36,143.1
2011-03-31,38.24,$0.14,269.52
2010-12-31,34.45,$0.13,264.2
2010-09-30,27.38,$0.06,422.58
2010-06-30,22.95,$0.03,691.23
2010-03-31,22.66,$0.16,140.55
2009-12-31,18.31,$0.37,49.61
