Essential Utilities Price to Free Cash Flow Ratio Historical Data,Essential Utilities Price to Free Cash Flow Ratio Historical Data,Essential Utilities Price to Free Cash Flow Ratio Historical Data,Essential Utilities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.86,,0.0
2024-12-31,36.32,$-1.43,0.0
2024-09-30,38.25,$-1.10,0.0
2024-06-30,36.72,$-1.03,0.0
2024-03-31,36.15,$-1.04,0.0
2023-12-31,36.13,$-1.01,0.0
2023-09-30,32.91,$-1.47,0.0
2023-06-30,37.97,$-1.80,0.0
2023-03-31,41.24,$-1.90,0.0
2022-12-31,44.82,$-2.20,0.0
2022-09-30,38.6,$-2.17,0.0
2022-06-30,42.53,$-1.85,0.0
2022-03-31,47.14,$-1.60,0.0
2021-12-31,49.21,$-1.59,0.0
2021-09-30,42.0,$-1.50,0.0
2021-06-30,41.42,$-1.18,0.0
2021-03-31,40.34,$-1.13,0.0
2020-12-31,42.41,$-15.03,0.0
2020-09-30,35.89,$-14.61,0.0
2020-06-30,37.46,$-14.24,0.0
2020-03-31,35.88,$-14.54,0.0
2019-12-31,41.2,$-1.24,0.0
2019-09-30,39.14,$-1.41,0.0
2019-06-30,35.92,$-2.08,0.0
2019-03-31,31.47,$-1.74,0.0
2018-12-31,29.34,$-1.53,0.0
2018-09-30,31.46,$-1.08,0.0
2018-06-30,29.82,$-0.52,0.0
2018-03-31,28.69,$-0.59,0.0
2017-12-31,32.85,$-0.57,0.0
2017-09-30,27.64,$-0.38,0.0
2017-06-30,27.56,$-0.30,0.0
2017-03-31,26.45,$-0.12,0.0
2016-12-31,24.56,$0.06,380.2
2016-09-30,24.76,$-0.01,0.0
2016-06-30,28.79,$0.04,790.89
2016-03-31,25.55,$-0.12,0.0
2015-12-31,23.79,$-0.13,0.0
2015-09-30,21.01,$-0.12,0.0
2015-06-30,19.3,$-0.09,0.0
2015-03-31,20.64,$0.08,259.94
2014-12-31,20.78,$0.12,174.94
2014-09-30,18.2,$0.22,81.22
2014-06-30,20.14,$0.31,65.98
2014-03-31,19.14,$0.32,59.47
2013-12-31,17.9,$0.28,63.01
2013-09-30,18.65,$0.37,50.57
2013-06-30,18.77,$0.24,79.87
2013-03-31,18.76,$-0.44,0.0
2012-12-31,15.07,$-0.55,0.0
2012-09-30,14.57,$-0.53,0.0
2012-06-30,14.59,$-0.44,0.0
2012-03-31,12.93,$0.16,81.59
2011-12-31,12.7,$0.26,47.92
2011-09-30,12.32,$0.13,94.8
2011-06-30,12.47,$-0.06,0.0
2011-03-31,12.89,$-0.18,0.0
2010-12-31,12.58,$-0.29,0.0
2010-09-30,11.33,$-0.26,0.0
2010-06-30,9.74,$-0.27,0.0
2010-03-31,9.6,$-0.10,0.0
2009-12-31,9.48,$-0.10,0.0
