Ross Stores Price to Free Cash Flow Ratio Historical Data,Ross Stores Price to Free Cash Flow Ratio Historical Data,Ross Stores Price to Free Cash Flow Ratio Historical Data,Ross Stores Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,124.6,,24.66
2024-10-31,139.39,$5.05,27.59
2024-07-31,142.55,$4.86,29.36
2024-04-30,128.6,$5.17,24.9
2024-01-31,138.91,$5.19,26.76
2023-10-31,114.54,$5.89,19.45
2023-07-31,112.92,$6.09,18.53
2023-04-30,104.79,$5.23,20.03
2023-01-31,115.67,$3.00,38.57
2022-10-31,93.4,$0.31,301.58
2022-07-31,79.03,$-0.60,0.0
2022-04-30,96.67,$0.10,993.51
2022-01-31,94.37,$3.34,28.27
2021-10-31,109.01,$4.31,25.32
2021-07-31,117.86,$8.48,13.89
2021-04-30,125.48,$10.33,12.15
2021-01-31,106.41,$5.19,20.5
2020-10-31,81.44,$5.74,14.2
2020-07-31,85.74,$1.95,43.87
2020-04-30,87.35,$-0.06,0.0
2020-01-31,106.86,$4.47,23.88
2019-10-31,104.22,$4.13,25.25
2019-07-31,100.53,$4.50,22.34
2019-04-30,92.35,$4.52,20.41
2019-01-31,87.11,$4.43,19.64
2018-10-31,93.36,$4.22,22.15
2018-07-31,82.26,$4.06,20.28
2018-04-30,75.87,$3.35,22.66
2018-01-31,77.09,$3.45,22.35
2017-10-31,59.28,$3.49,16.99
2017-07-31,51.51,$3.23,15.97
2017-04-30,60.38,$3.36,17.98
2017-01-31,61.26,$3.19,19.19
2016-10-31,57.84,$3.24,17.86
2016-07-31,57.05,$2.98,19.13
2016-04-30,52.26,$2.59,20.18
2016-01-31,51.66,$2.36,21.89
2015-10-31,46.34,$1.88,24.65
2015-07-31,48.59,$1.55,31.42
2015-04-30,45.08,$1.64,27.46
2015-01-31,41.72,$1.74,24.02
2014-10-31,36.64,$1.53,24.0
2014-07-31,29.15,$1.66,17.61
2014-04-30,30.73,$1.35,22.77
2014-01-31,30.57,$1.09,27.98
2013-10-31,34.74,$0.97,35.93
2013-07-31,30.23,$1.06,28.51
2013-04-30,29.52,$1.30,22.74
2013-01-31,26.6,$1.25,21.34
2012-10-31,27.09,$1.36,19.94
2012-07-31,29.47,$1.63,18.07
2012-04-30,27.22,$1.47,18.49
2012-01-31,22.43,$0.88,25.54
2011-10-31,19.31,$0.81,23.95
2011-07-31,16.63,$0.57,28.95
2011-04-30,16.13,$0.61,26.31
2011-01-31,14.23,$0.99,14.38
2010-10-31,12.84,$1.12,11.47
2010-07-31,11.42,$1.25,9.17
2010-04-30,12.11,$1.37,8.87
2010-01-31,9.9,$1.46,6.78
2009-10-31,9.46,$1.61,5.89
