Sonnet BioTherapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Sonnet BioTherapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Sonnet BioTherapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Sonnet BioTherapeutics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.43,,0.0
2024-12-31,1.46,$-8.07,0.0
2024-09-30,6.69,$-13.14,0.0
2024-06-30,7.5,$-70.69,0.0
2024-03-31,14.88,$-55.02,0.0
2023-12-31,13.92,$-19.97,0.0
2023-09-30,22.92,$-164.17,0.0
2023-06-30,86.24,$-320.52,0.0
2023-03-31,63.36,$-681.58,0.0
2022-12-31,202.4,$-948.21,0.0
2022-09-30,258.72,"$-1,127.86",0.0
2022-06-30,689.92,"$-1,353.62",0.0
2022-03-31,926.46,"$-1,406.73",0.0
2021-12-31,1017.88,"$-1,880.20",0.0
2021-09-30,1493.18,"$-2,262.33",0.0
2021-06-30,3893.12,"$-3,701.43",0.0
2021-03-31,5544.0,"$-3,959.87",0.0
2020-12-31,5494.72,"$-4,814.33",0.0
2020-09-30,6332.48,"$-4,101.84",0.0
2020-06-30,8968.96,"$-1,598.64",0.0
2020-03-31,25696.07,"$-1,551.57",0.0
2019-12-31,37797.76,$-0.34,0.0
2019-09-30,46382.33,$-0.34,0.0
2019-06-30,70470.39,$-620.37,0.0
2019-03-31,110830.71,$-6.02,0.0
2018-12-31,82642.55,$-0.39,0.0
2018-09-30,158878.7,$-0.39,0.0
2018-06-30,197957.74,$-0.32,0.0
2018-03-31,237036.77,$-0.08,0.0
2017-12-31,168481.89,$-0.52,0.0
2017-09-30,167399.21,$-0.52,0.0
2017-06-30,199879.66,$-0.78,0.0
2017-03-31,230630.37,$-0.78,0.0
2016-12-31,269068.77,$-0.32,0.0
2016-09-30,352287.89,$-0.32,0.0
2016-06-30,275475.17,$-0.18,0.0
2016-03-31,518918.34,$-0.20,0.0
2015-12-31,640255.54,$-0.42,0.0
2015-09-30,704703.91,$-0.42,0.0
2015-06-30,1582380.6,$-0.26,0.0
2015-03-31,1531129.41,$-0.45,0.0
2014-12-31,1104911.67,$-0.38,0.0
2014-09-30,1326124.64,$-0.38,0.0
2014-06-30,1679117.23,$-0.56,0.0
2014-03-31,2408806.1,$-0.46,0.0
2013-12-31,3440236.37,$-0.48,0.0
2013-09-30,3126258.75,$-0.48,0.0
2013-06-30,1921919.76,$-0.16,0.0
2013-03-31,1204403.05,$-1.03,0.0
2012-12-31,2331929.31,$-0.86,0.0
2012-09-30,2331929.31,$-0.86,0.0
2012-06-30,2812345.19,$-1.02,0.0
2012-03-31,4164159.48,0,0.0
2011-12-31,4740735.41,0,0.0
2011-09-30,4164159.48,0,0.0
2011-06-30,3831026.73,0,0.0
2011-03-31,4100095.49,0,0.0
2010-12-31,2722719.66,0,0.0
2010-09-30,2562559.68,0,0.0
2010-06-30,2562559.68,0,0.0
2010-03-31,2722719.66,0,0.0
2009-12-31,2562559.68,0,0.0
