NewtekOne Price to Free Cash Flow Ratio Historical Data,NewtekOne Price to Free Cash Flow Ratio Historical Data,NewtekOne Price to Free Cash Flow Ratio Historical Data,NewtekOne Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.5,,0.0
2024-09-30,12.27,$-5.12,0.0
2024-06-30,12.2,$-0.07,0.0
2024-03-31,10.67,$-3.88,0.0
2023-12-31,13.16,$-6.97,0.0
2023-09-30,13.71,$-1.50,0.0
2023-06-30,14.62,$-8.23,0.0
2023-03-31,11.6,$-7.53,0.0
2022-12-31,14.73,$-2.58,0.0
2022-09-30,14.19,$-5.80,0.0
2022-06-30,15.93,$-1.95,0.0
2022-03-31,21.63,$4.87,4.44
2021-12-31,21.85,$6.18,3.53
2021-09-30,21.11,$3.97,5.32
2021-06-30,25.73,$2.88,8.93
2021-03-31,19.31,$1.00,19.37
2020-12-31,13.97,$0.84,16.64
2020-09-30,12.85,$1.37,9.36
2020-06-30,11.85,$0.18,64.52
2020-03-31,8.59,$-2.28,0.0
2019-12-31,14.19,$-4.61,0.0
2019-09-30,13.72,$-3.69,0.0
2019-06-30,13.63,$-4.69,0.0
2019-03-31,11.41,$-3.75,0.0
2018-12-31,9.93,$-3.97,0.0
2018-09-30,11.93,$-2.78,0.0
2018-06-30,11.1,$-1.84,0.0
2018-03-31,9.86,$-4.04,0.0
2017-12-31,9.88,$-4.24,0.0
2017-09-30,9.3,$-3.50,0.0
2017-06-30,8.3,$-4.41,0.0
2017-03-31,8.45,$-2.92,0.0
2016-12-31,7.75,$-1.00,0.0
2016-09-30,6.77,$-3.09,0.0
2016-06-30,5.86,$-3.53,0.0
2016-03-31,5.6,$-1.91,0.0
2015-12-31,6.07,$-3.53,0.0
2015-09-30,6.77,$-6.06,0.0
2015-06-30,7.3,$-3.10,0.0
2015-03-31,6.64,$-4.03,0.0
2014-12-31,5.8,$-2.07,0.0
2014-09-30,5.41,$2.69,2.01
2014-06-30,5.39,$1.10,4.89
2014-03-31,5.66,$1.74,3.25
2013-12-31,6.17,$0.39,15.9
2013-09-30,5.82,$-0.94,0.0
2013-06-30,4.15,$-0.57,0.0
2013-03-31,3.93,$-0.45,0.0
2012-12-31,3.66,$-1.01,0.0
2012-09-30,3.6,$0.16,22.36
2012-06-30,2.44,$1.32,1.85
2012-03-31,2.99,$0.07,43.11
2011-12-31,2.26,$1.37,1.65
2011-09-30,2.67,$0.56,4.81
2011-06-30,3.32,$0.09,38.31
2011-03-31,3.22,$0.05,68.15
2010-12-31,3.38,$-0.60,0.0
2010-09-30,2.71,$-0.79,0.0
2010-06-30,2.61,$-0.76,0.0
2010-03-31,2.46,$-0.75,0.0
2009-12-31,1.93,$0.19,10.07
