CocaCola Price to Free Cash Flow Ratio Historical Data,CocaCola Price to Free Cash Flow Ratio Historical Data,CocaCola Price to Free Cash Flow Ratio Historical Data,CocaCola Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,69.71,,62.99
2024-12-31,62.26,$1.11,56.26
2024-09-30,71.32,$0.80,88.96
2024-06-30,62.75,$2.10,29.82
2024-03-31,59.85,$2.33,25.74
2023-12-31,57.19,$2.26,25.27
2023-09-30,53.9,$2.36,22.85
2023-06-30,57.53,$2.20,26.12
2023-03-31,58.82,$2.09,28.14
2022-12-31,59.86,$2.21,27.1
2022-09-30,52.35,$2.33,22.42
2022-06-30,58.36,$2.38,24.5
2022-03-31,57.09,$2.39,23.94
2021-12-31,54.12,$2.62,20.66
2021-09-30,47.58,$2.72,17.48
2021-06-30,48.7,$2.68,18.19
2021-03-31,47.08,$2.31,20.42
2020-12-31,48.58,$2.05,23.71
2020-09-30,43.39,$1.74,24.94
2020-06-30,38.95,$1.85,21.08
2020-03-31,38.23,$2.15,17.76
2019-12-31,47.42,$2.18,21.78
2019-09-30,46.3,$2.11,21.98
2019-06-30,42.99,$1.87,23.0
2019-03-31,39.25,$1.48,26.48
2018-12-31,39.32,$1.47,26.72
2018-09-30,38.05,$1.25,30.32
2018-06-30,35.83,$1.14,31.45
2018-03-31,35.16,$1.26,27.93
2017-12-31,36.82,$1.25,29.49
2017-09-30,35.83,$1.42,25.18
2017-06-30,35.42,$1.49,23.84
2017-03-31,33.24,$1.59,20.96
2016-12-31,32.19,$1.53,21.04
2016-09-30,32.58,$1.49,21.8
2016-06-30,34.61,$1.55,22.36
2016-03-31,35.15,$1.61,21.86
2015-12-31,32.3,$1.83,17.65
2015-09-30,29.93,$1.97,15.2
2015-06-30,29.02,$2.01,14.45
2015-03-31,29.75,$1.99,14.98
2014-12-31,30.73,$1.89,16.22
2014-09-30,30.83,$1.89,16.28
2014-06-30,30.4,$1.95,15.59
2014-03-31,27.53,$1.95,14.14
2013-12-31,29.19,$1.80,16.24
2013-09-30,26.58,$1.82,14.61
2013-06-30,27.94,$1.76,15.88
2013-03-31,27.98,$1.77,15.84
2012-12-31,24.9,$1.75,14.25
2012-09-30,25.88,$1.66,15.55
2012-06-30,26.49,$1.53,17.27
2012-03-31,24.91,$1.44,17.3
2011-12-31,23.38,$1.43,16.32
2011-09-30,22.41,$1.38,16.24
2011-06-30,22.17,$1.38,16.02
2011-03-31,21.7,$1.37,15.85
2010-12-31,21.36,$1.60,13.38
2010-09-30,18.87,$1.58,11.94
2010-06-30,16.04,$1.52,10.58
2010-03-31,17.46,$1.47,11.9
2009-12-31,17.94,$1.35,13.27
