Materialise Price to Free Cash Flow Ratio Historical Data,Materialise Price to Free Cash Flow Ratio Historical Data,Materialise Price to Free Cash Flow Ratio Historical Data,Materialise Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.11,,45.63
2024-09-30,5.48,$0.11,48.93
2024-06-30,5.01,$0.22,23.3
2024-03-31,5.28,$0.20,26.75
2023-12-31,6.57,$0.21,30.78
2023-09-30,5.49,$0.14,40.52
2023-06-30,8.64,$-0.07,0.0
2023-03-31,8.3,$0.00,0.0
2022-12-31,8.8,$0.02,556.96
2022-09-30,10.71,$0.26,41.71
2022-06-30,13.62,$0.37,36.94
2022-03-31,19.35,$0.48,40.36
2021-12-31,23.87,$0.38,62.42
2021-09-30,20.1,$0.53,37.98
2021-06-30,24.09,$0.48,50.59
2021-03-31,35.95,$0.39,92.32
2020-12-31,54.21,$0.42,129.88
2020-09-30,36.91,$0.20,182.36
2020-06-30,22.56,$0.41,55.13
2020-03-31,18.57,$0.38,48.42
2019-12-31,18.31,$0.32,58.03
2019-09-30,18.48,$0.43,43.25
2019-06-30,19.52,$0.25,76.94
2019-03-31,15.74,$0.22,71.13
2018-12-31,20.03,$0.24,83.08
2018-09-30,13.8,$0.14,96.17
2018-06-30,12.98,$-0.10,0.0
2018-03-31,11.69,$-0.24,0.0
2017-12-31,12.71,$-0.42,0.0
2017-09-30,14.56,$-0.48,0.0
2017-06-30,11.87,$-0.30,0.0
2017-03-31,9.1,$-0.18,0.0
2016-12-31,7.68,$-0.04,0.0
2016-09-30,7.7,$-0.07,0.0
2016-06-30,7.15,$-0.08,0.0
2016-03-31,7.6,$-0.16,0.0
2015-12-31,7.06,$-0.14,0.0
2015-09-30,7.69,$-0.25,0.0
2015-06-30,9.1,$-0.28,0.0
2015-03-31,6.99,$-0.11,0.0
