IT Tech Packaging Inc Price to Free Cash Flow Ratio Historical Data,IT Tech Packaging Inc Price to Free Cash Flow Ratio Historical Data,IT Tech Packaging Inc Price to Free Cash Flow Ratio Historical Data,IT Tech Packaging Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.28,,0.0
2024-09-30,0.26,$-0.51,0.0
2024-06-30,0.23,$-0.82,0.0
2024-03-31,0.26,$-1.32,0.0
2023-12-31,0.31,$-0.93,0.0
2023-09-30,0.39,$-0.11,0.0
2023-06-30,0.47,$0.34,1.38
2023-03-31,0.38,$0.71,0.53
2022-12-31,0.46,$-0.02,0.0
2022-09-30,0.78,$-2.73,0.0
2022-06-30,1.19,$-3.01,0.0
2022-03-31,2.23,$-0.99,0.0
2021-12-31,2.3,$-3.01,0.0
2021-09-30,3.87,$-1.93,0.0
2021-06-30,4.71,$-3.99,0.0
2021-03-31,6.6,$-6.72,0.0
2020-12-31,5.57,$-1.65,0.0
2020-09-30,4.91,$0.57,8.58
2020-06-30,6.05,$4.45,1.36
2020-03-31,6.2,$5.30,1.17
2019-12-31,9.4,$0.51,18.59
2019-09-30,6.94,$3.08,2.25
2019-06-30,7.05,$1.32,5.34
2019-03-31,10.0,$3.79,2.64
2018-12-31,6.33,$3.22,1.96
2018-09-30,8.3,$-0.21,0.0
2018-06-30,10.0,$5.07,1.97
2018-03-31,11.8,$3.34,3.53
2017-12-31,12.9,$4.12,3.13
2017-09-30,8.2,$5.62,1.46
2017-06-30,10.36,$2.10,4.94
2017-03-31,9.87,$0.36,27.74
2016-12-31,11.6,$1.74,6.66
2016-09-30,10.5,$1.68,6.23
2016-06-30,10.5,$-0.67,0.0
2016-03-31,12.28,$2.78,4.42
2015-12-31,14.83,$0.92,16.08
2015-09-30,15.99,$-9.19,0.0
2015-06-30,16.36,$-7.20,0.0
2015-03-31,18.5,$-8.33,0.0
2014-12-31,11.03,$-3.45,0.0
2014-09-30,13.7,$2.31,5.92
2014-06-30,21.5,$-5.12,0.0
2014-03-31,24.1,$-16.43,0.0
2013-12-31,26.6,$-17.37,0.0
2013-09-30,17.17,$-13.70,0.0
2013-06-30,15.07,$-4.60,0.0
2013-03-31,17.64,$2.71,6.51
2012-12-31,17.74,$3.32,5.34
2012-09-30,19.79,$2.20,8.98
2012-06-30,25.25,$-0.37,0.0
2012-03-31,36.3,$-4.04,0.0
2011-12-31,31.63,$-4.81,0.0
2011-09-30,26.18,$-11.12,0.0
2011-06-30,33.96,$-11.90,0.0
2011-03-31,44.96,$-13.11,0.0
2010-12-31,61.89,$-12.16,0.0
2010-09-30,42.23,$-12.96,0.0
2010-06-30,65.0,$-8.37,0.0
2010-03-31,81.25,$-0.44,0.0
2009-12-31,101.98,$1.17,86.96
