NN Price to Free Cash Flow Ratio Historical Data,NN Price to Free Cash Flow Ratio Historical Data,NN Price to Free Cash Flow Ratio Historical Data,NN Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.62,,0.0
2024-12-31,3.27,$-0.14,0.0
2024-09-30,3.9,$-0.19,0.0
2024-06-30,3.0,$0.08,39.53
2024-03-31,4.74,$0.24,20.05
2023-12-31,4.0,$0.25,15.92
2023-09-30,1.86,$0.36,5.11
2023-06-30,2.39,$0.03,82.41
2023-03-31,1.07,$-0.09,0.0
2022-12-31,1.5,$-0.22,0.0
2022-09-30,1.71,$-0.22,0.0
2022-06-30,2.53,$-0.18,0.0
2022-03-31,2.88,$-0.30,0.0
2021-12-31,4.1,$-0.03,0.0
2021-09-30,5.25,$-0.34,0.0
2021-06-30,7.35,$-0.31,0.0
2021-03-31,7.07,$-0.04,0.0
2020-12-31,6.57,$-0.12,0.0
2020-09-30,5.16,$0.22,23.74
2020-06-30,4.74,$0.68,6.99
2020-03-31,1.73,$0.38,4.56
2019-12-31,9.25,$0.06,156.25
2019-09-30,7.13,$1.30,5.47
2019-06-30,9.66,$0.52,18.54
2019-03-31,7.36,$-0.56,0.0
2018-12-31,6.55,$-0.68,0.0
2018-09-30,15.07,$-4.66,0.0
2018-06-30,18.19,$-4.14,0.0
2018-03-31,23.03,$-2.90,0.0
2017-12-31,26.41,$-2.57,0.0
2017-09-30,27.68,$0.40,68.84
2017-06-30,26.13,$1.00,26.23
2017-03-31,23.93,$0.98,24.41
2016-12-31,18.03,$0.95,19.07
2016-09-30,17.2,$0.89,19.33
2016-06-30,13.13,$0.25,52.38
2016-03-31,12.79,$1.04,12.26
2015-12-31,14.82,$-0.11,0.0
2015-09-30,17.13,$0.52,32.85
2015-06-30,23.55,$-0.33,0.0
2015-03-31,23.09,$-0.88,0.0
2014-12-31,18.88,$0.25,76.94
2014-09-30,24.45,$-0.74,0.0
2014-06-30,23.35,$0.72,32.41
2014-03-31,17.93,$1.09,16.43
2013-12-31,18.31,$0.96,19.16
2013-09-30,14.07,$1.54,9.15
2013-06-30,10.27,$1.27,8.12
2013-03-31,8.47,$1.16,7.29
2012-12-31,8.2,$1.21,6.8
2012-09-30,7.6,$0.99,7.69
2012-06-30,9.14,$0.57,15.93
2012-03-31,7.3,$0.68,10.67
2011-12-31,5.37,$-0.30,0.0
2011-09-30,4.52,$-0.18,0.0
2011-06-30,13.39,$0.01,999.18
2011-03-31,16.34,$-0.41,0.0
2010-12-31,11.06,$0.77,14.45
2010-09-30,7.38,$0.58,12.68
2010-06-30,4.47,$0.88,5.1
2010-03-31,4.92,$0.82,5.97
2009-12-31,3.54,$0.68,5.21
