Cheniere Energy Partners Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Partners Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Partners Price to Free Cash Flow Ratio Historical Data,Cheniere Energy Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,61.69,,10.61
2024-12-31,53.12,$5.81,9.14
2024-09-30,47.91,$5.89,8.13
2024-06-30,47.51,$5.86,8.11
2024-03-31,49.38,$5.71,8.65
2023-12-31,46.46,$5.97,7.78
2023-09-30,49.68,$7.51,6.62
2023-06-30,41.45,$7.73,5.36
2023-03-31,41.57,$7.73,5.38
2022-12-31,48.95,$7.64,6.41
2022-09-30,45.12,$5.28,8.54
2022-06-30,37.12,$4.61,8.05
2022-03-31,45.78,$3.95,11.58
2021-12-31,33.85,$3.39,9.97
2021-09-30,32.09,$3.08,10.44
2021-06-30,34.38,$2.68,12.83
2021-03-31,31.75,$2.41,13.15
2020-12-31,26.48,$1.95,13.58
2020-09-30,24.56,$2.11,11.62
2020-06-30,25.4,$1.17,21.65
2020-03-31,19.25,$0.77,24.97
2019-12-31,27.9,$0.45,62.51
2019-09-30,31.42,$0.42,74.18
2019-06-30,28.73,$1.37,20.91
2019-03-31,28.17,$2.05,13.72
2018-12-31,23.92,$2.21,10.82
2018-09-30,25.69,$1.99,12.88
2018-06-30,23.06,$1.65,13.95
2018-03-31,18.34,$0.50,36.92
2017-12-31,18.38,$-1.00,0.0
2017-09-30,17.6,$-2.73,0.0
2017-06-30,19.5,$-4.64,0.0
2017-03-31,19.19,$-5.93,0.0
2016-12-31,16.88,$-6.85,0.0
2016-09-30,16.87,$-14.97,0.0
2016-06-30,17.02,$-13.18,0.0
2016-03-31,16.13,$-11.20,0.0
2015-12-31,14.32,$-9.13,0.0
2015-09-30,14.24,$-8.06,0.0
2015-06-30,16.45,$-8.11,0.0
2015-03-31,15.76,$-8.33,0.0
2014-12-31,16.61,$-8.24,0.0
2014-09-30,16.76,$0.11,153.63
2014-06-30,16.7,$0.21,80.82
2014-03-31,14.97,$0.13,115.3
2013-12-31,14.08,$0.11,134.07
2013-09-30,12.78,$-0.22,0.0
2013-06-30,14.28,$0.05,305.83
2013-03-31,12.88,$-0.13,0.0
2012-12-31,9.82,$-0.20,0.0
2012-09-30,10.36,$-0.06,0.0
2012-06-30,10.07,$-0.44,0.0
2012-03-31,9.34,$-0.09,0.0
2011-12-31,7.75,$-0.00,0.0
2011-09-30,5.69,$0.09,65.53
2011-06-30,7.37,$0.20,37.06
2011-03-31,7.65,$-0.06,0.0
2010-12-31,8.38,$0.61,13.68
2010-09-30,7.19,$0.97,7.38
2010-06-30,6.42,$1.24,5.18
2010-03-31,6.02,$1.61,3.74
2009-12-31,4.61,$2.02,2.28
