Rezolute Price to Free Cash Flow Ratio Historical Data,Rezolute Price to Free Cash Flow Ratio Historical Data,Rezolute Price to Free Cash Flow Ratio Historical Data,Rezolute Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.09,,0.0
2024-12-31,4.9,$-1.08,0.0
2024-09-30,4.85,$-1.14,0.0
2024-06-30,4.3,$-1.11,0.0
2024-03-31,2.55,$-0.99,0.0
2023-12-31,0.99,$-1.03,0.0
2023-09-30,1.32,$-0.93,0.0
2023-06-30,1.98,$-0.87,0.0
2023-03-31,1.92,$-1.08,0.0
2022-12-31,2.07,$-1.47,0.0
2022-09-30,2.74,$-1.44,0.0
2022-06-30,3.23,$-2.03,0.0
2022-03-31,3.38,$-2.44,0.0
2021-12-31,4.78,$-2.31,0.0
2021-09-30,7.48,$-3.41,0.0
