Hub Price to Free Cash Flow Ratio Historical Data,Hub Price to Free Cash Flow Ratio Historical Data,Hub Price to Free Cash Flow Ratio Historical Data,Hub Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.82,,14.45
2024-12-31,44.56,$2.55,17.48
2024-09-30,45.34,$3.71,12.22
2024-06-30,42.82,$4.24,10.09
2024-03-31,42.87,$4.81,8.9
2023-12-31,45.46,$4.84,9.38
2023-09-30,38.84,$4.58,8.47
2023-06-30,39.72,$4.88,8.14
2023-03-31,41.51,$4.49,9.25
2022-12-31,39.3,$4.20,9.36
2022-09-30,34.11,$3.98,8.57
2022-06-30,35.08,$1.93,18.19
2022-03-31,38.18,$1.29,29.6
2021-12-31,41.65,$2.44,17.11
2021-09-30,33.99,$1.76,19.37
2021-06-30,32.62,$2.47,13.2
2021-03-31,33.27,$2.67,12.46
2020-12-31,28.18,$0.94,30.04
2020-09-30,24.82,$2.32,10.69
2020-06-30,23.66,$1.78,13.31
2020-03-31,22.48,$2.02,11.12
2019-12-31,25.36,$2.53,10.01
2019-09-30,22.99,$1.47,15.6
2019-06-30,20.76,$1.58,13.13
2019-03-31,20.2,$0.90,22.36
2018-12-31,18.33,$0.33,55.87
2018-09-30,22.55,$0.17,129.14
2018-06-30,24.62,$0.74,33.24
2018-03-31,20.69,$0.38,54.56
2017-12-31,23.68,$0.84,28.21
2017-09-30,21.24,$0.40,52.92
2017-06-30,18.96,$-0.21,0.0
2017-03-31,22.94,$-0.06,0.0
2016-12-31,21.63,$-0.04,0.0
2016-09-30,20.15,$0.28,71.37
2016-06-30,18.97,$1.19,15.98
2016-03-31,20.17,$1.50,13.44
2015-12-31,16.29,$1.26,12.88
2015-09-30,18.0,$1.25,14.42
2015-06-30,19.95,$0.71,28.0
2015-03-31,19.43,$0.34,56.82
2014-12-31,18.83,$-0.27,0.0
2014-09-30,20.04,$-0.35,0.0
2014-06-30,24.92,$-0.04,0.0
2014-03-31,19.77,$-0.34,0.0
2013-12-31,19.72,$0.11,174.97
2013-09-30,19.4,$0.28,69.15
2013-06-30,18.01,$0.37,48.03
2013-03-31,19.02,$0.68,27.94
2012-12-31,16.61,$0.50,33.3
2012-09-30,14.68,$0.58,25.33
2012-06-30,17.86,$0.42,42.62
2012-03-31,17.82,$0.07,244.05
2011-12-31,16.04,$0.27,58.65
2011-09-30,13.98,$0.13,110.76
2011-06-30,18.62,$-0.08,0.0
2011-03-31,17.89,$0.22,81.52
2010-12-31,17.38,$0.17,99.74
2010-09-30,14.47,$0.25,58.15
2010-06-30,14.84,$0.35,42.01
2010-03-31,13.84,$0.41,33.71
2009-12-31,13.25,$0.55,24.21
