Forward Industries Price to Free Cash Flow Ratio Historical Data,Forward Industries Price to Free Cash Flow Ratio Historical Data,Forward Industries Price to Free Cash Flow Ratio Historical Data,Forward Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.72,,0.0
2024-12-31,4.95,$-0.15,0.0
2024-09-30,3.73,$0.31,12.01
2024-06-30,4.76,$0.31,15.53
2024-03-31,6.07,$0.38,16.16
2023-12-31,7.29,$1.10,6.62
2023-09-30,7.6,$0.82,9.25
2023-06-30,9.6,$0.73,13.12
2023-03-31,11.15,$0.99,11.26
2022-12-31,10.72,$0.11,98.39
2022-09-30,13.3,$1.34,9.94
2022-06-30,14.7,$0.82,17.92
2022-03-31,17.2,$0.10,173.91
2021-12-31,15.6,$1.01,15.51
2021-09-30,23.9,$-0.57,0.0
2021-06-30,29.6,$0.13,227.17
2021-03-31,28.5,$-0.18,0.0
2020-12-31,18.2,$-0.06,0.0
2020-09-30,13.9,$-0.35,0.0
2020-06-30,13.0,$-0.62,0.0
2020-03-31,11.1,$0.21,52.14
2019-12-31,9.9,$-2.08,0.0
2019-09-30,9.7,$-2.10,0.0
2019-06-30,11.5,$-1.98,0.0
2019-03-31,14.8,$-0.61,0.0
2018-12-31,13.0,$-1.33,0.0
2018-09-30,15.3,$0.96,15.89
2018-06-30,16.2,$1.24,13.11
2018-03-31,14.2,$-0.23,0.0
2017-12-31,12.3,$1.88,6.55
2017-09-30,12.29,$-0.16,0.0
2017-06-30,10.5,$-1.33,0.0
2017-03-31,11.88,$0.44,27.02
2016-12-31,12.5,$1.07,11.72
2016-09-30,14.9,$0.83,17.95
2016-06-30,11.8,$1.07,10.98
2016-03-31,12.9,$0.64,20.05
2015-12-31,14.8,$-0.45,0.0
2015-09-30,13.55,$-2.46,0.0
2015-06-30,6.89,$-2.72,0.0
2015-03-31,7.9,$-3.43,0.0
2014-12-31,10.4,$-1.34,0.0
2014-09-30,13.3,$0.25,54.18
2014-06-30,12.2,$2.80,4.36
2014-03-31,19.6,$2.64,7.41
2013-12-31,15.5,$1.79,8.64
2013-09-30,18.7,$2.68,6.97
2013-06-30,19.0,$-1.95,0.0
2013-03-31,20.5,$-6.79,0.0
2012-12-31,14.8,$-8.73,0.0
2012-09-30,11.7,$-13.40,0.0
2012-06-30,17.4,$-11.07,0.0
2012-03-31,23.7,$-8.00,0.0
2011-12-31,16.7,$-7.17,0.0
2011-09-30,22.5,$-2.56,0.0
2011-06-30,26.6,$-4.02,0.0
2011-03-31,39.1,$-3.05,0.0
2010-12-31,32.2,$-1.72,0.0
2010-09-30,37.3,$-2.13,0.0
2010-06-30,31.1,$0.31,99.29
2010-03-31,30.5,$0.87,34.87
2009-12-31,21.0,$-0.55,0.0
