AMC Networks Price to Free Cash Flow Ratio Historical Data,AMC Networks Price to Free Cash Flow Ratio Historical Data,AMC Networks Price to Free Cash Flow Ratio Historical Data,AMC Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.31,,0.98
2024-12-31,9.9,$7.45,1.33
2024-09-30,8.69,$6.72,1.29
2024-06-30,9.66,$9.14,1.06
2024-03-31,12.13,$10.35,1.17
2023-12-31,18.79,$3.84,4.9
2023-09-30,11.78,$5.41,2.18
2023-06-30,11.95,$3.33,3.59
2023-03-31,17.58,$0.66,26.52
2022-12-31,15.67,$3.15,4.98
2022-09-30,20.3,$2.07,9.8
2022-06-30,29.12,$-0.37,0.0
2022-03-31,40.63,$-0.77,0.0
2021-12-31,34.44,$2.32,14.83
2021-09-30,46.59,$2.38,19.56
2021-06-30,66.8,$8.53,7.83
2021-03-31,53.16,$12.56,4.23
2020-12-31,35.77,$13.57,2.64
2020-09-30,24.71,$12.54,1.97
2020-06-30,23.39,$10.33,2.27
2020-03-31,24.31,$7.59,3.2
2019-12-31,39.5,$6.88,5.75
2019-09-30,49.16,$7.51,6.55
2019-06-30,54.49,$8.81,6.18
2019-03-31,56.76,$9.66,5.88
2018-12-31,54.88,$8.77,6.26
2018-09-30,66.34,$8.49,7.82
2018-06-30,62.2,$6.90,9.01
2018-03-31,51.7,$4.55,11.37
2017-12-31,54.08,$4.66,11.61
2017-09-30,58.47,$4.00,14.62
2017-06-30,53.41,$5.09,10.48
2017-03-31,58.68,$5.71,10.28
2016-12-31,52.34,$6.01,8.71
2016-09-30,51.86,$5.98,8.68
2016-06-30,60.42,$4.78,12.65
2016-03-31,64.94,$5.39,12.05
2015-12-31,74.68,$4.12,18.12
2015-09-30,73.17,$4.80,15.25
2015-06-30,81.85,$4.58,17.87
2015-03-31,76.64,$4.52,16.95
2014-12-31,63.77,$4.61,13.83
2014-09-30,58.42,$3.51,16.63
2014-06-30,61.49,$3.29,18.7
2014-03-31,73.08,$0.56,131.11
2013-12-31,68.11,$-1.01,0.0
2013-09-30,68.5,$3.44,19.9
2013-06-30,65.33,$3.30,19.82
2013-03-31,63.22,$5.96,10.6
2012-12-31,49.5,$7.62,6.49
2012-09-30,43.52,$3.60,12.08
2012-06-30,35.55,$3.94,9.03
2012-03-31,44.63,$4.42,10.1
