Atkore Price to Free Cash Flow Ratio Historical Data,Atkore Price to Free Cash Flow Ratio Historical Data,Atkore Price to Free Cash Flow Ratio Historical Data,Atkore Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,63.93,,7.28
2024-12-31,83.45,$8.78,9.5
2024-09-30,84.44,$10.85,7.78
2024-06-30,134.0,$10.26,13.07
2024-03-31,188.66,$11.29,16.72
2023-12-31,158.26,$13.95,11.34
2023-09-30,147.57,$14.97,9.86
2023-06-30,154.24,$19.46,7.93
2023-03-31,138.95,$20.01,6.94
2022-12-31,112.18,$16.84,6.66
2022-09-30,76.96,$14.70,5.23
2022-06-30,82.11,$11.33,7.25
2022-03-31,97.37,$10.90,8.93
2021-12-31,109.98,$10.98,10.02
2021-09-30,85.97,$10.75,8.0
2021-06-30,70.23,$7.89,8.9
2021-03-31,71.12,$6.75,10.54
2020-12-31,40.66,$5.34,7.62
2020-09-30,22.48,$4.56,4.93
2020-06-30,27.05,$4.33,6.24
2020-03-31,20.84,$3.74,5.58
2019-12-31,40.02,$3.85,10.39
2019-09-30,30.02,$3.66,8.2
2019-06-30,25.59,$2.11,12.1
2019-03-31,21.3,$1.91,11.13
2018-12-31,19.62,$2.06,9.51
2018-09-30,26.24,$1.99,13.2
2018-06-30,20.54,$2.64,7.77
2018-03-31,19.63,$1.87,10.5
2017-12-31,21.22,$1.60,13.3
2017-09-30,19.3,$1.45,13.29
2017-06-30,22.3,$1.84,12.13
2017-03-31,25.99,$2.48,10.49
