Universal Logistics Holdings Price to Free Cash Flow Ratio Historical Data,Universal Logistics Holdings Price to Free Cash Flow Ratio Historical Data,Universal Logistics Holdings Price to Free Cash Flow Ratio Historical Data,Universal Logistics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.69,,0.0
2024-09-30,43.02,$-5.90,0.0
2024-06-30,40.41,$-5.80,0.0
2024-03-31,36.62,$-3.53,0.0
2023-12-31,27.74,$-1.02,0.0
2023-09-30,24.83,$0.50,49.55
2023-06-30,28.3,$3.82,7.42
2023-03-31,28.53,$4.09,6.97
2022-12-31,32.62,$4.17,7.81
2022-09-30,30.85,$3.27,9.43
2022-06-30,26.49,$1.77,14.97
2022-03-31,19.47,$1.81,10.73
2021-12-31,18.12,$1.86,9.75
2021-09-30,19.19,$1.39,13.77
2021-06-30,22.16,$-0.57,0.0
2021-03-31,24.92,$2.12,11.77
2020-12-31,19.41,$0.47,40.9
2020-09-30,19.57,$-0.29,0.0
2020-06-30,16.31,$2.27,7.17
2020-03-31,12.29,$0.59,20.95
2019-12-31,17.67,$2.12,8.34
2019-09-30,21.58,$3.06,7.05
2019-06-30,20.62,$3.06,6.75
2019-03-31,18.06,$2.12,8.53
2018-12-31,16.44,$1.13,14.49
2018-09-30,33.32,$0.67,49.59
2018-06-30,23.69,$0.74,32.07
2018-03-31,19.0,$0.82,23.1
2017-12-31,21.27,$0.76,27.86
2017-09-30,18.26,$0.48,38.07
2017-06-30,13.32,$-0.50,0.0
2017-03-31,12.68,$-0.63,0.0
